transaction_id,customer_id,amount,transaction_date,transaction_type,status,payment_method
TXN00118,CUST0014,-47.06,2023-05-07,Downgrade,Failed,Wire Transfer
TXN00119,CUST0015,1335.02,2025-07-28,Renewal,Completed,ACH
TXN00120,CUST0015,1641.44,2024-11-23,Subscription,Completed,Wire Transfer
TXN00121,CUST0015,-430.1,2025-04-21,Refund,Completed,Wire Transfer
TXN00122,CUST0015,-413.28,2024-12-30,Refund,Completed,ACH
TXN00123,CUST0015,1423.31,2024-08-22,One-time Add-on,Completed,Wire Transfer
TXN00124,CUST0015,465.02,2025-04-21,Upgrade,Completed,Invoice
TXN00125,CUST0015,1904.06,2025-07-28,Renewal,Completed,Wire Transfer
TXN00126,CUST0015,1478.63,2025-08-19,One-time Add-on,Completed,Invoice
TXN00127,CUST0015,1772.16,2024-10-23,One-time Add-on,Completed,ACH
TXN00128,CUST0015,378.18,2025-05-27,Upgrade,Completed,Credit Card
TXN00129,CUST0015,1756.09,2024-09-05,One-time Add-on,Completed,ACH
TXN00130,CUST0016,1906.04,2024-11-21,Renewal,Completed,Credit Card
TXN00131,CUST0016,-953.83,2025-08-24,Refund,Completed,Wire Transfer
TXN00132,CUST0016,425.82,2024-11-30,Upgrade,Completed,Credit Card
TXN00133,CUST0016,-581.09,2025-02-19,Refund,Pending,Credit Card
TXN00134,CUST0016,-115.6,2025-07-02,Refund,Completed,Invoice
TXN00135,CUST0016,944.63,2025-12-30,Upgrade,Completed,Wire Transfer
TXN00136,CUST0017,-481.02,2025-05-21,Refund,Completed,ACH
TXN00137,CUST0017,10377.49,2025-09-20,Subscription,Completed,Invoice
TXN00138,CUST0017,12476.31,2025-06-28,Renewal,Completed,ACH
TXN00139,CUST0017,-3467.77,2025-09-30,Refund,Completed,Wire Transfer
TXN00140,CUST0017,-2785.94,2025-10-30,Downgrade,Completed,Credit Card
TXN00141,CUST0017,12593.72,2025-06-22,Renewal,Completed,ACH
TXN00142,CUST0017,12065.5,2025-09-24,One-time Add-on,Completed,Wire Transfer
TXN00143,CUST0017,5407.24,2025-09-28,Upgrade,Completed,Invoice
TXN00144,CUST0017,-2030.64,2025-12-08,Refund,Completed,ACH
TXN00145,CUST0017,14451.6,2025-08-15,One-time Add-on,Completed,Invoice
TXN00146,CUST0017,-617.95,2025-09-02,Downgrade,Completed,Wire Transfer
TXN00147,CUST0017,12433.92,2025-10-10,Subscription,Failed,Wire Transfer
TXN00148,CUST0018,275.16,2025-08-07,Renewal,Completed,Wire Transfer
TXN00149,CUST0018,317.59,2025-12-15,One-time Add-on,Pending,ACH
TXN00150,CUST0018,305.67,2025-04-24,Subscription,Completed,Wire Transfer
TXN00151,CUST0018,279.51,2025-09-10,One-time Add-on,Completed,Wire Transfer
TXN00152,CUST0019,-62.43,2025-06-19,Downgrade,Completed,Credit Card
TXN00153,CUST0019,135.44,2025-09-05,Upgrade,Completed,Credit Card
TXN00154,CUST0019,-83.75,2025-07-01,Refund,Completed,Invoice
TXN00155,CUST0019,379.47,2024-10-10,Subscription,Completed,Invoice
TXN00156,CUST0019,372.7,2025-04-01,Subscription,Completed,Credit Card
TXN00157,CUST0020,3420.02,2023-06-06,Upgrade,Completed,ACH
TXN00158,CUST0020,11914.55,2024-12-16,One-time Add-on,Completed,Invoice
TXN00159,CUST0020,11373.48,2025-08-16,One-time Add-on,Completed,Invoice
TXN00160,CUST0020,-960.61,2024-10-01,Downgrade,Completed,Invoice
TXN00161,CUST0020,10595.9,2023-05-27,One-time Add-on,Completed,Invoice
TXN00162,CUST0020,10956.87,2023-11-10,Renewal,Completed,Invoice
TXN00163,CUST0020,11553.41,2024-03-23,One-time Add-on,Completed,ACH
TXN00164,CUST0020,10008.81,2024-06-26,Subscription,Completed,Credit Card
TXN00165,CUST0020,-2312.53,2023-10-04,Refund,Completed,ACH
TXN00166,CUST0020,3726.94,2024-12-03,Upgrade,Completed,Wire Transfer
TXN00167,CUST0021,1332.36,2023-04-28,One-time Add-on,Completed,ACH
TXN00168,CUST0021,1380.83,2023-05-04,Subscription,Completed,Wire Transfer
TXN00169,CUST0021,-510.71,2023-04-15,Refund,Completed,Credit Card
TXN00170,CUST0021,1382.01,2023-04-21,One-time Add-on,Completed,Wire Transfer
TXN00171,CUST0021,445.66,2023-04-06,Upgrade,Completed,Invoice
TXN00172,CUST0021,1101.12,2023-05-06,Subscription,Completed,ACH
TXN00173,CUST0022,6017.77,2025-06-11,One-time Add-on,Completed,ACH
TXN00174,CUST0022,-1070.76,2022-06-25,Downgrade,Completed,Credit Card
TXN00175,CUST0022,4507.51,2023-10-24,Renewal,Completed,Wire Transfer
TXN00176,CUST0022,-1168.88,2022-09-04,Downgrade,Completed,Invoice
TXN00177,CUST0022,-2337.84,2023-11-25,Refund,Completed,Credit Card
TXN00178,CUST0022,2444.89,2022-06-27,Upgrade,Completed,ACH
TXN00179,CUST0022,6512.82,2024-07-06,One-time Add-on,Completed,Wire Transfer
TXN00180,CUST0023,2027.75,2025-08-18,One-time Add-on,Completed,Invoice
TXN00181,CUST0023,-70.44,2024-10-09,Refund,Completed,Wire Transfer
TXN00182,CUST0023,-297.07,2024-02-19,Downgrade,Completed,Wire Transfer
TXN00183,CUST0023,484.9,2025-02-12,Upgrade,Completed,Wire Transfer
TXN00184,CUST0023,2103.23,2025-06-23,Subscription,Completed,Credit Card
TXN00185,CUST0023,2362.21,2025-11-05,One-time Add-on,Completed,Wire Transfer
TXN00186,CUST0023,-429.0,2025-09-18,Downgrade,Completed,Invoice
TXN00187,CUST0023,-632.58,2024-08-29,Refund,Completed,ACH
TXN00188,CUST0023,2060.86,2024-05-15,Renewal,Completed,Wire Transfer
TXN00189,CUST0023,1865.73,2025-10-01,One-time Add-on,Completed,ACH
TXN00190,CUST0023,2067.37,2025-01-11,Renewal,Completed,ACH
TXN00191,CUST0024,-126.81,2025-04-13,Refund,Completed,ACH
TXN00192,CUST0024,337.73,2025-08-15,Renewal,Completed,ACH
TXN00193,CUST0024,325.16,2025-04-22,Subscription,Pending,Credit Card
TXN00194,CUST0024,138.53,2024-12-06,Upgrade,Completed,Credit Card
TXN00195,CUST0024,-92.28,2025-04-23,Downgrade,Completed,Wire Transfer
TXN00196,CUST0024,267.87,2024-11-03,Renewal,Completed,Wire Transfer
TXN00197,CUST0025,338.67,2025-07-28,Renewal,Completed,Credit Card
TXN00198,CUST0025,-31.7,2025-10-30,Downgrade,Completed,Invoice
TXN00199,CUST0025,-102.26,2025-11-24,Refund,Completed,Invoice
TXN00200,CUST0025,328.48,2025-03-25,Renewal,Completed,Invoice
TXN00201,CUST0025,182.2,2023-12-11,Upgrade,Completed,ACH
TXN00202,CUST0025,330.5,2024-06-22,Subscription,Pending,Invoice
TXN00203,CUST0025,-84.24,2025-08-18,Downgrade,Completed,ACH
TXN00204,CUST0026,370.02,2024-07-14,Subscription,Completed,Wire Transfer
TXN00205,CUST0026,417.02,2024-07-03,One-time Add-on,Completed,Credit Card
TXN00206,CUST0026,347.84,2024-11-10,Subscription,Completed,Credit Card
TXN00207,CUST0026,357.36,2025-11-10,Renewal,Completed,Credit Card
TXN00208,CUST0026,-63.5,2024-12-18,Downgrade,Completed,Credit Card
TXN00209,CUST0026,97.84,2023-12-07,Upgrade,Pending,Wire Transfer
TXN00210,CUST0026,343.71,2024-09-10,Renewal,Completed,Credit Card
TXN00211,CUST0026,411.99,2025-05-02,One-time Add-on,Completed,Invoice
TXN00212,CUST0026,-113.76,2023-08-27,Refund,Completed,ACH
TXN00213,CUST0026,-46.42,2024-07-02,Downgrade,Completed,Invoice
TXN00214,CUST0027,386.5,2025-09-01,Subscription,Completed,ACH
TXN00215,CUST0027,363.15,2025-03-16,Subscription,Completed,Wire Transfer
TXN00216,CUST0027,465.03,2025-02-24,One-time Add-on,Completed,ACH
TXN00217,CUST0027,408.92,2025-07-24,One-time Add-on,Completed,Wire Transfer
TXN00218,CUST0027,-192.1,2025-10-28,Refund,Completed,ACH
TXN00219,CUST0027,-58.45,2025-04-13,Refund,Completed,Invoice
TXN00220,CUST0027,-79.76,2025-06-08,Refund,Pending,ACH
TXN00221,CUST0028,34.81,2025-07-03,Upgrade,Completed,Invoice
TXN00222,CUST0028,346.27,2025-01-22,Subscription,Completed,ACH
TXN00223,CUST0028,-105.17,2025-04-24,Refund,Completed,Credit Card
TXN00224,CUST0028,266.42,2025-05-20,One-time Add-on,Pending,Wire Transfer
TXN00225,CUST0029,11061.88,2025-05-29,Subscription,Completed,Wire Transfer
TXN00226,CUST0029,14448.98,2025-03-02,Renewal,Completed,Wire Transfer
TXN00227,CUST0029,10374.28,2025-07-31,Subscription,Completed,ACH
TXN00228,CUST0029,-1835.56,2025-05-05,Refund,Completed,ACH
TXN00229,CUST0029,-3685.2,2025-10-03,Refund,Pending,Credit Card
TXN00230,CUST0029,3131.83,2025-07-15,Upgrade,Completed,Credit Card
TXN00231,CUST0029,10454.75,2025-09-18,One-time Add-on,Completed,Credit Card
TXN00232,CUST0029,3934.23,2025-07-02,Upgrade,Completed,ACH
TXN00233,CUST0029,10679.43,2025-12-22,Subscription,Completed,Credit Card
TXN00234,CUST0029,-4373.9,2025-10-17,Refund,Pending,Wire Transfer
TXN00235,CUST0029,14418.45,2025-09-18,One-time Add-on,Completed,Wire Transfer
TXN00236,CUST0029,12974.66,2025-04-19,One-time Add-on,Completed,Invoice
TXN00237,CUST0030,8338.38,2024-04-06,One-time Add-on,Completed,ACH
TXN00238,CUST0030,7558.83,2023-10-06,Subscription,Completed,Credit Card
TXN00239,CUST0030,11200.09,2024-05-04,One-time Add-on,Completed,Wire Transfer
TXN00240,CUST0030,10479.52,2024-09-27,One-time Add-on,Completed,ACH
TXN00241,CUST0030,3884.74,2024-07-19,Upgrade,Completed,Wire Transfer
TXN00242,CUST0030,10030.59,2023-10-11,Subscription,Completed,Credit Card
TXN00243,CUST0030,8703.6,2024-04-01,Renewal,Completed,Invoice
TXN00244,CUST0030,9880.52,2025-02-01,Subscription,Completed,Invoice
TXN00245,CUST0030,2660.81,2025-04-06,Upgrade,Completed,Credit Card
TXN00246,CUST0030,3043.5,2025-03-21,Upgrade,Completed,Credit Card
TXN00247,CUST0030,10029.31,2024-05-05,One-time Add-on,Completed,Wire Transfer
TXN00248,CUST0031,214.29,2023-04-15,Upgrade,Completed,Invoice
TXN00249,CUST0031,558.43,2025-12-18,One-time Add-on,Completed,Invoice
TXN00250,CUST0031,415.88,2023-07-02,One-time Add-on,Completed,Wire Transfer
TXN00251,CUST0031,-56.19,2024-03-19,Refund,Completed,Invoice
TXN00252,CUST0031,137.9,2023-10-13,Upgrade,Pending,ACH
TXN00253,CUST0032,5887.82,2025-05-21,Renewal,Completed,ACH
TXN00254,CUST0032,-1229.97,2025-05-07,Downgrade,Completed,ACH
TXN00255,CUST0032,3271.5,2025-05-14,Upgrade,Completed,Wire Transfer
TXN00256,CUST0032,1096.31,2025-06-20,Upgrade,Completed,ACH
TXN00257,CUST0032,-175.53,2025-05-15,Refund,Completed,Credit Card
TXN00258,CUST0032,3295.75,2025-05-02,Upgrade,Completed,Credit Card
TXN00259,CUST0032,-1897.56,2025-05-23,Downgrade,Completed,Wire Transfer
TXN00260,CUST0032,7689.27,2025-05-03,One-time Add-on,Completed,ACH
TXN00261,CUST0032,6111.69,2025-05-22,Renewal,Completed,Wire Transfer
TXN00262,CUST0032,-1517.65,2025-06-20,Downgrade,Completed,ACH
TXN00263,CUST0032,5617.5,2025-05-19,Subscription,Completed,Credit Card
TXN00264,CUST0032,6551.48,2025-05-15,One-time Add-on,Completed,ACH
TXN00265,CUST0033,1989.27,2024-07-08,Renewal,Completed,Wire Transfer
TXN00266,CUST0033,2045.77,2025-08-19,Subscription,Completed,Credit Card
TXN00267,CUST0033,-152.35,2023-09-27,Downgrade,Completed,ACH
TXN00268,CUST0033,2262.4,2025-08-24,One-time Add-on,Completed,ACH
TXN00269,CUST0033,-460.88,2023-08-02,Downgrade,Completed,Invoice
TXN00270,CUST0033,-306.37,2023-09-10,Downgrade,Completed,Invoice
TXN00271,CUST0033,2830.8,2025-10-13,Renewal,Completed,Wire Transfer
TXN00272,CUST0033,-230.11,2025-03-08,Downgrade,Pending,Wire Transfer
TXN00273,CUST0034,-84.81,2023-09-05,Downgrade,Completed,Wire Transfer
TXN00274,CUST0034,-385.17,2023-10-01,Downgrade,Completed,Wire Transfer
TXN00275,CUST0034,1253.69,2024-02-06,One-time Add-on,Completed,Credit Card
TXN00276,CUST0034,1561.34,2023-04-27,One-time Add-on,Completed,Invoice
TXN00277,CUST0034,1422.26,2023-07-13,One-time Add-on,Completed,ACH
TXN00278,CUST0034,-97.99,2023-10-04,Downgrade,Completed,Invoice
TXN00279,CUST0034,1642.59,2023-08-17,One-time Add-on,Completed,ACH
TXN00280,CUST0034,-509.77,2022-11-22,Refund,Completed,Invoice
TXN00281,CUST0034,1529.89,2022-09-23,One-time Add-on,Completed,Credit Card
TXN00282,CUST0035,193.03,2023-09-24,Upgrade,Completed,Credit Card
TXN00283,CUST0035,119.14,2024-11-13,Upgrade,Completed,Credit Card
TXN00284,CUST0035,462.17,2023-12-18,Renewal,Pending,Credit Card
TXN00285,CUST0035,-72.4,2023-07-26,Refund,Completed,Invoice
TXN00286,CUST0035,-39.58,2025-12-25,Downgrade,Completed,Wire Transfer
TXN00287,CUST0035,447.3,2024-06-03,One-time Add-on,Completed,Invoice
TXN00288,CUST0035,413.42,2024-09-03,Subscription,Completed,Invoice
TXN00289,CUST0035,50.01,2023-06-17,Upgrade,Pending,Credit Card
TXN00290,CUST0035,-134.05,2022-09-30,Refund,Failed,Credit Card
TXN00291,CUST0035,357.8,2024-04-28,Subscription,Completed,Invoice
TXN00292,CUST0035,-107.45,2024-07-11,Refund,Completed,ACH
TXN00293,CUST0036,6493.9,2025-08-19,Renewal,Completed,Wire Transfer
TXN00294,CUST0036,6791.39,2025-07-20,Renewal,Completed,ACH
TXN00295,CUST0036,6148.23,2025-02-25,Subscription,Completed,Invoice
TXN00296,CUST0036,6186.56,2025-07-30,Renewal,Completed,Invoice
TXN00297,CUST0036,-2261.95,2025-08-09,Refund,Completed,ACH
TXN00298,CUST0036,7193.97,2025-08-08,One-time Add-on,Completed,Invoice
TXN00299,CUST0037,462.59,2025-04-05,Renewal,Completed,Invoice
TXN00300,CUST0037,-144.56,2025-04-08,Refund,Completed,Wire Transfer
TXN00301,CUST0037,489.94,2025-02-15,Subscription,Completed,Credit Card
TXN00302,CUST0037,-138.52,2025-07-05,Downgrade,Completed,Wire Transfer
TXN00303,CUST0037,396.48,2025-06-06,One-time Add-on,Pending,Credit Card
TXN00304,CUST0037,-99.04,2025-04-10,Downgrade,Completed,Credit Card
TXN00305,CUST0037,533.81,2025-07-19,One-time Add-on,Completed,Credit Card
TXN00306,CUST0037,530.08,2025-05-05,One-time Add-on,Completed,Invoice
TXN00307,CUST0037,-112.48,2025-07-03,Refund,Completed,Wire Transfer
TXN00308,CUST0038,9602.2,2022-07-09,Subscription,Completed,Wire Transfer
TXN00309,CUST0038,8053.73,2023-04-22,One-time Add-on,Completed,ACH
TXN00310,CUST0038,9464.2,2023-02-02,Subscription,Completed,Credit Card
TXN00311,CUST0038,-629.1,2022-09-08,Downgrade,Completed,Wire Transfer
TXN00312,CUST0038,9319.83,2022-08-22,Renewal,Completed,Wire Transfer
TXN00313,CUST0038,-541.22,2022-04-22,Refund,Completed,ACH
TXN00314,CUST0038,-1268.76,2023-03-18,Downgrade,Completed,ACH
TXN00315,CUST0038,9973.88,2022-12-19,Renewal,Completed,Wire Transfer
TXN00316,CUST0039,500.44,2023-09-03,One-time Add-on,Completed,Invoice
TXN00317,CUST0039,-103.45,2024-07-10,Downgrade,Completed,Invoice
TXN00318,CUST0039,-77.3,2024-06-26,Refund,Completed,Wire Transfer
TXN00319,CUST0039,-93.15,2023-07-18,Refund,Completed,Credit Card
TXN00320,CUST0039,-63.83,2023-09-14,Downgrade,Completed,ACH
TXN00321,CUST0040,-110.09,2025-12-26,Refund,Completed,Invoice
TXN00322,CUST0040,192.18,2024-02-08,Upgrade,Completed,Wire Transfer
TXN00323,CUST0040,-197.26,2025-07-22,Refund,Completed,Wire Transfer
TXN00324,CUST0040,476.36,2025-04-13,One-time Add-on,Completed,Wire Transfer
TXN00325,CUST0040,171.79,2024-10-29,Upgrade,Completed,Invoice
TXN00326,CUST0040,-165.4,2025-05-13,Refund,Completed,ACH
TXN00327,CUST0040,151.45,2025-07-12,Upgrade,Failed,Wire Transfer
TXN00328,CUST0040,436.33,2025-08-09,Subscription,Completed,Credit Card
TXN00329,CUST0040,412.24,2025-03-23,Subscription,Completed,Wire Transfer
TXN00330,CUST0040,-93.64,2024-09-07,Refund,Completed,Credit Card
TXN00331,CUST0041,1642.82,2022-07-17,One-time Add-on,Completed,Credit Card
TXN00332,CUST0041,1766.4,2022-11-23,Subscription,Completed,ACH
TXN00333,CUST0041,-183.22,2022-11-05,Refund,Completed,Credit Card
TXN00334,CUST0041,-433.92,2025-10-21,Downgrade,Completed,Invoice
TXN00335,CUST0041,313.73,2025-12-19,Upgrade,Completed,Wire Transfer
TXN00336,CUST0042,-1464.11,2024-05-25,Downgrade,Completed,Wire Transfer
TXN00337,CUST0042,-740.5,2023-10-29,Downgrade,Failed,ACH
TXN00338,CUST0042,-1040.23,2025-01-13,Downgrade,Completed,ACH
TXN00339,CUST0042,-1150.02,2024-11-03,Downgrade,Completed,Invoice
TXN00340,CUST0043,10277.45,2024-08-06,Subscription,Completed,Wire Transfer
TXN00341,CUST0043,14360.79,2025-07-23,Subscription,Completed,Credit Card
TXN00342,CUST0043,-2450.48,2024-05-31,Refund,Completed,Wire Transfer
TXN00343,CUST0043,9934.28,2025-05-28,One-time Add-on,Completed,Invoice
TXN00344,CUST0043,-1871.36,2025-08-25,Downgrade,Completed,Credit Card
TXN00345,CUST0043,9932.32,2025-10-28,Renewal,Pending,Invoice
TXN00346,CUST0043,12569.94,2024-08-25,One-time Add-on,Failed,Wire Transfer
TXN00347,CUST0043,-790.78,2025-02-27,Downgrade,Failed,Credit Card
TXN00348,CUST0044,1514.52,2025-07-14,Subscription,Completed,Wire Transfer
TXN00349,CUST0044,1361.69,2025-02-23,Renewal,Failed,ACH
TXN00350,CUST0044,-290.43,2025-06-02,Refund,Completed,Wire Transfer
TXN00351,CUST0044,1537.99,2025-12-11,Subscription,Completed,ACH
TXN00352,CUST0044,1169.05,2024-12-21,Subscription,Completed,ACH
TXN00353,CUST0044,-87.62,2025-12-13,Downgrade,Completed,Wire Transfer
