customer_id,company_name,industry,plan_type,mrr,region,company_size,contract_start,churn_date,status,health_score,nps_score
CUST0025,Gay-Nguyen,Finance,Starter,379.52,Europe,51-200,2023-11-26,,Active,86.8,9
CUST0026,Price-Stuart,Finance,Starter,354.71,Latin America,1000+,2023-05-27,,Active,94.2,6
CUST0027,Ramsey-Garcia,Finance,Starter,429.43,Europe,51-200,2025-01-12,,Active,70.6,9
CUST0028,Strong-Blair,Education,Starter,331.93,Latin America,201-500,2022-01-05,,Active,89.6,9
CUST0029,"Kemp, Willis and Cooper",Legal,Enterprise,12657.54,Europe,51-200,2025-02-12,,Active,72.9,10
CUST0030,"Lewis, Harper and Alexander",Legal,Enterprise,9336.56,Middle East,1000+,2023-10-05,2025-06-24,Churned,98.2,1
CUST0031,Sanchez-Adams,Finance,Starter,491.16,Middle East,1-50,2022-06-14,,Active,78.0,6
CUST0032,"Schroeder, Kim and Elliott",Real Estate,Enterprise,6968.72,Middle East,1000+,2025-05-02,2025-06-21,Churned,60.2,4
CUST0033,Rose PLC,Logistics,Growth,2401.06,Europe,201-500,2023-02-23,,Active,67.8,8
CUST0034,"Smith, Gray and Atkins",Consulting,Growth,1473.27,North America,1-50,2022-05-29,2024-03-25,Churned,78.9,4
CUST0035,Shaw PLC,Finance,Starter,400.18,Europe,201-500,2022-09-29,,Active,79.2,10
CUST0036,"Jenkins, Archer and Jones",Education,Enterprise,7419.14,North America,51-200,2024-12-19,2025-10-28,Churned,80.6,2
CUST0037,Harris-Elliott,Consulting,Starter,476.94,Europe,201-500,2025-02-07,2025-07-31,Churned,72.9,2
CUST0038,"Watson, Campos and Holt",Education,Enterprise,8907.25,North America,1-50,2022-04-15,2023-07-22,Churned,84.3,2
CUST0039,"Chung, Clark and Jenkins",Technology,Starter,426.42,Latin America,1000+,2023-06-21,2024-10-15,Churned,72.7,5
CUST0040,Smith and Sons,Retail,Starter,408.12,Latin America,51-200,2024-01-27,,Active,82.3,6
CUST0041,Miller LLC,Manufacturing,Growth,1545.98,Europe,1-50,2022-03-23,,Active,72.7,9
CUST0042,Mcdaniel-Edwards,Retail,Enterprise,10994.82,Latin America,1-50,2023-04-30,,Active,94.2,7
CUST0043,Miller PLC,Manufacturing,Enterprise,12394.9,Asia Pacific,51-200,2024-04-23,,Active,83.3,6
CUST0044,Beltran-Vega,Manufacturing,Growth,1332.65,Europe,1-50,2024-07-31,,Active,76.4,7
CUST0045,West-Sullivan,Education,Growth,1491.39,Asia Pacific,1000+,2022-05-23,,Active,54.7,10
CUST0046,"Carpenter, Oneal and Webb",Education,Growth,2407.86,Europe,1000+,2022-08-25,,Active,101.9,8
CUST0047,Moore-Wilson,Logistics,Starter,320.68,Latin America,1000+,2024-06-08,,Active,87.9,10
CUST0048,Strickland Group,Logistics,Starter,349.94,Latin America,1-50,2024-06-12,2025-01-29,Churned,67.4,5
CUST0049,Davis LLC,Education,Growth,1933.73,Middle East,201-500,2022-09-13,,Active,76.7,8
CUST0050,"Ford, Chan and Williams",Real Estate,Enterprise,6017.3,Europe,1000+,2024-05-11,,Active,72.8,10
CUST0051,Cross-Castillo,Manufacturing,Growth,1608.11,Latin America,1000+,2022-01-01,,Active,73.7,9
CUST0052,"Miller, Farmer and Jacobs",Retail,Growth,2012.44,North America,201-500,2024-11-12,,Active,75.4,10
CUST0053,Pham-Brown,Education,Enterprise,10062.53,Europe,51-200,2023-11-18,2024-08-14,Churned,70.2,3
CUST0054,Hernandez-Vega,Consulting,Enterprise,11796.9,Europe,501-1000,2022-05-30,,Active,84.9,9
CUST0055,Ruiz-Palmer,Finance,Growth,1364.98,Latin America,51-200,2022-01-12,,Active,95.6,10
CUST0056,Murphy LLC,Finance,Growth,1074.33,Latin America,51-200,2023-05-26,,Active,109.0,9
CUST0057,"Douglas, Taylor and Washington",Legal,Enterprise,9248.06,Middle East,1000+,2025-02-18,,Active,58.6,9
CUST0058,Giles LLC,Manufacturing,Starter,447.73,Asia Pacific,1000+,2024-08-30,,Active,93.6,9
CUST0059,"Smith, Mitchell and Salazar",Manufacturing,Enterprise,6912.97,Asia Pacific,201-500,2024-06-19,2025-05-07,Churned,61.7,1
CUST0060,"Long, Murray and Cooper",Finance,Starter,345.25,Latin America,501-1000,2022-11-09,,Active,95.5,8
CUST0061,"Diaz, Hudson and Hooper",Real Estate,Enterprise,8726.39,Middle East,1-50,2022-05-08,2023-08-11,Churned,80.7,3
CUST0062,"Flores, Mueller and Le",Real Estate,Growth,1007.84,Latin America,1000+,2023-12-22,,Active,66.0,10
CUST0063,Fisher PLC,Legal,Enterprise,12181.49,North America,501-1000,2024-09-26,2025-06-06,Churned,58.7,3
CUST0064,Hernandez-Ramirez,Consulting,Enterprise,6319.36,Middle East,1-50,2024-08-15,,Active,97.5,9
CUST0065,Nguyen-Martin,Retail,Enterprise,9514.14,Latin America,51-200,2022-02-25,2023-06-08,Churned,79.1,1
CUST0066,Yang Ltd,Real Estate,Growth,1489.27,Asia Pacific,1-50,2024-02-16,,Active,85.6,9
CUST0067,Brock-Potts,Logistics,Starter,448.8,Europe,1-50,2022-04-17,,Active,85.4,6
CUST0068,"Barnes, Allison and Thomas",Manufacturing,Starter,338.87,Europe,501-1000,2022-02-11,,Active,64.9,6
CUST0069,Keller-Tanner,Logistics,Enterprise,12581.06,Europe,1000+,2024-08-10,,Active,66.4,6
CUST0070,Bell-Hill,Education,Starter,491.94,Middle East,501-1000,2022-08-10,,Active,69.6,9
CUST0071,Craig Ltd,Manufacturing,Enterprise,6585.64,North America,201-500,2025-04-27,,Active,91.6,6
CUST0072,Gonzalez and Sons,Logistics,Enterprise,11260.08,North America,1000+,2023-12-13,,Active,68.9,8
CUST0073,Harris Inc,Legal,Starter,468.92,Europe,501-1000,2024-09-30,2025-05-03,Churned,74.5,5
CUST0074,Garrett LLC,Legal,Growth,1922.87,Latin America,1000+,2025-01-07,,Active,95.0,8
CUST0075,Brooks-Boyer,Legal,Growth,2276.57,Europe,501-1000,2022-06-27,,Active,65.9,8
CUST0076,Duncan and Sons,Logistics,Starter,397.86,Asia Pacific,201-500,2023-10-28,2024-07-01,Churned,60.4,2
CUST0077,Church and Sons,Technology,Enterprise,10608.47,Europe,1-50,2023-07-20,,Active,82.7,10
CUST0078,Andrews-Drake,Healthcare,Starter,437.12,North America,201-500,2024-10-02,,Active,94.2,7
CUST0079,Miller Group,Logistics,Growth,2036.68,Latin America,1000+,2023-09-20,,Active,69.6,10
CUST0080,Hayes Inc,Education,Growth,1526.72,Europe,1-50,2024-07-18,,Active,79.6,7
CUST0081,"Ochoa, Rogers and Watts",Retail,Growth,1178.33,Europe,51-200,2025-01-02,,Active,81.3,10
CUST0082,Hammond Ltd,Education,Enterprise,9773.33,Europe,201-500,2022-07-25,,Active,72.4,7
CUST0083,Miller and Sons,Healthcare,Growth,1020.22,Middle East,201-500,2024-12-29,2025-02-20,Churned,66.0,6
CUST0084,"Brown, Garcia and Martin",Legal,Growth,1152.88,Latin America,501-1000,2022-01-26,,Active,76.1,8
CUST0085,Smith and Sons,Legal,Starter,492.1,North America,1-50,2023-06-02,,Active,78.2,6
CUST0086,"Mcfarland, Smith and Bright",Finance,Starter,328.84,Europe,1-50,2025-02-26,,Active,84.8,10
CUST0087,Hall Ltd,Technology,Growth,1908.48,Latin America,501-1000,2025-06-20,,Active,90.5,10
CUST0088,Ortiz-Jenkins,Manufacturing,Growth,1457.07,Europe,201-500,2025-06-25,2025-08-19,Churned,62.5,5
CUST0089,"Guerrero, Blankenship and Holmes",Retail,Starter,330.41,North America,501-1000,2022-12-22,,Active,66.7,8
CUST0090,"Walters, Chavez and Harper",Legal,Starter,345.3,North America,51-200,2023-08-03,,Active,86.9,8
CUST0091,Brown-Kirby,Technology,Enterprise,9717.32,Europe,51-200,2023-02-10,,Active,100.8,6
CUST0092,Rodriguez and Sons,Consulting,Starter,332.18,Asia Pacific,501-1000,2023-09-22,,Active,69.8,6
CUST0093,Nelson-Howard,Technology,Growth,2032.02,Middle East,501-1000,2024-04-04,,Active,67.0,9
CUST0094,Hodge-Roberson,Consulting,Enterprise,7577.57,Middle East,1-50,2023-05-28,2024-02-16,Churned,74.2,6
CUST0095,"Wright, Melton and Aguilar",Retail,Enterprise,11570.37,Latin America,1000+,2025-03-26,2025-11-04,Churned,52.5,1
CUST0096,Cabrera Ltd,Legal,Enterprise,8486.08,Asia Pacific,501-1000,2024-10-04,,Active,60.2,8
CUST0097,"Young, Olson and Rojas",Legal,Growth,2004.2,Asia Pacific,501-1000,2022-11-26,,Active,87.9,9
CUST0098,Hunter-Fisher,Technology,Starter,361.9,North America,1000+,2023-10-25,2025-01-10,Churned,54.0,3
CUST0099,Lynch Ltd,Legal,Growth,1080.31,Latin America,1-50,2024-11-27,,Active,86.4,8
CUST0100,Woodward-Bell,Consulting,Growth,2320.27,Europe,51-200,2024-09-19,2025-09-06,Churned,82.5,2
CUST0101,"Butler, Watson and Walker",Legal,Enterprise,5108.4,North America,51-200,2024-04-15,2024-09-08,Churned,48.9,4
CUST0102,Wall LLC,Manufacturing,Enterprise,7186.4,Latin America,1000+,2024-09-15,,Active,82.2,7
CUST0103,Hernandez Ltd,Retail,Growth,1284.92,North America,201-500,2025-05-12,,Active,85.3,8
CUST0104,Robbins PLC,Education,Enterprise,7136.38,Middle East,1000+,2022-01-06,,Active,58.7,9
CUST0105,Morris-Gross,Technology,Starter,388.31,Middle East,501-1000,2024-09-18,,Active,71.8,7
CUST0106,Montgomery-Nguyen,Real Estate,Enterprise,6909.44,North America,201-500,2024-02-24,,Active,84.9,9
CUST0107,Howell LLC,Retail,Enterprise,12306.44,Latin America,1-50,2024-02-20,,Active,103.8,8
CUST0108,Callahan-Hess,Healthcare,Starter,473.84,Europe,501-1000,2024-06-20,2025-10-30,Churned,90.2,6
CUST0109,Mason Ltd,Education,Enterprise,12758.65,Asia Pacific,1000+,2022-06-03,,Active,75.9,8
CUST0110,"Smith, Christian and Martin",Legal,Enterprise,11873.74,Middle East,1-50,2024-02-18,,Active,65.7,10
CUST0111,Reyes PLC,Finance,Starter,345.95,Latin America,1-50,2023-08-12,,Active,83.2,6
CUST0112,"Carter, Murphy and Lee",Healthcare,Growth,1248.55,Asia Pacific,1-50,2023-09-06,,Active,63.3,8
CUST0113,"Peters, Hendrix and Martin",Real Estate,Growth,1561.26,Middle East,51-200,2022-10-26,,Active,84.3,9
CUST0114,Parsons PLC,Retail,Enterprise,10464.08,Europe,501-1000,2024-10-16,,Active,86.3,8
CUST0115,Torres Group,Legal,Growth,1381.99,Asia Pacific,1000+,2022-01-20,,Active,89.1,8
CUST0116,Ryan-Lawrence,Legal,Enterprise,7392.23,Asia Pacific,51-200,2024-05-18,,Active,92.9,9
CUST0117,Rich Inc,Consulting,Growth,1158.98,Asia Pacific,201-500,2024-02-21,,Active,104.4,9
CUST0118,Miller-Brown,Legal,Growth,1011.15,Asia Pacific,51-200,2022-04-11,,Active,85.1,10
CUST0119,"Montoya, Rice and Spencer",Retail,Growth,1327.51,North America,1-50,2023-01-25,,Active,77.3,10
CUST0120,Gonzalez Group,Logistics,Growth,2097.54,Latin America,51-200,2022-07-04,,Active,94.1,7
CUST0121,"George, Mcconnell and Welch",Education,Starter,456.3,Europe,201-500,2024-01-20,,Active,106.7,8
CUST0122,Williams-Tucker,Finance,Enterprise,11962.18,Europe,51-200,2022-08-24,,Active,67.2,9
CUST0123,"Fowler, Green and Mitchell",Finance,Enterprise,7925.2,Latin America,201-500,2024-03-19,2025-10-19,Churned,59.6,4
CUST0124,Maynard-Cline,Legal,Growth,2232.63,North America,1000+,2024-01-31,2024-10-26,Churned,52.1,4
CUST0125,"Bowen, Ashley and Gonzales",Legal,Growth,2371.88,Asia Pacific,501-1000,2023-03-30,,Active,84.7,6
CUST0126,Townsend Ltd,Retail,Growth,2492.89,Latin America,501-1000,2022-08-26,2024-03-28,Churned,70.4,2
CUST0127,"Mcdonald, Andersen and Little",Retail,Enterprise,12594.05,Latin America,1-50,2025-01-11,,Active,90.3,8
CUST0128,"Webster, Ball and Hernandez",Manufacturing,Starter,437.06,Asia Pacific,1-50,2023-03-21,,Active,67.6,8
CUST0129,"Mendez, Walker and Flores",Manufacturing,Enterprise,12212.57,North America,501-1000,2024-01-05,2024-11-12,Churned,74.9,5
CUST0130,"Rodriguez, Taylor and Solomon",Manufacturing,Enterprise,12767.75,Europe,1000+,2022-04-14,,Active,86.5,7
CUST0131,Mckenzie and Sons,Manufacturing,Starter,464.96,Asia Pacific,51-200,2025-02-09,2025-06-29,Churned,71.9,2
CUST0132,Jones and Sons,Retail,Starter,496.51,North America,1-50,2025-01-11,,Active,66.3,7
CUST0133,Richardson Ltd,Healthcare,Starter,370.65,Europe,201-500,2023-05-03,,Active,100.7,10
CUST0134,Wilkinson-Martinez,Logistics,Starter,448.13,Middle East,1000+,2024-09-02,,Active,88.4,6
CUST0135,"Rivera, Brown and Freeman",Technology,Growth,1754.76,Asia Pacific,501-1000,2025-06-13,2025-12-28,Churned,66.1,3
CUST0136,"Myers, Estrada and Edwards",Legal,Growth,1638.41,North America,1-50,2022-08-10,,Active,79.6,8
CUST0137,Richardson PLC,Consulting,Enterprise,6185.67,Middle East,201-500,2022-09-16,,Active,70.1,8
CUST0138,Osborn-Garcia,Technology,Growth,1757.33,Europe,501-1000,2024-05-31,2024-10-25,Churned,79.0,3
CUST0139,Walker-Kelly,Finance,Starter,381.76,Asia Pacific,501-1000,2024-07-17,,Active,78.5,7
CUST0140,Moran-Johnson,Finance,Enterprise,12382.88,Latin America,1-50,2022-05-18,2022-09-12,Churned,76.5,5
CUST0141,"Walls, Gonzales and Johnson",Consulting,Enterprise,7980.17,Middle East,1000+,2022-09-24,,Active,79.1,8
CUST0142,Livingston LLC,Healthcare,Enterprise,12528.04,Asia Pacific,1000+,2024-05-16,,Active,87.4,8
CUST0143,Anderson-Guzman,Legal,Growth,1154.4,Europe,1-50,2024-11-05,2025-11-06,Churned,59.0,0
CUST0144,Flores-Freeman,Consulting,Growth,1860.15,Middle East,1000+,2024-05-28,,Active,94.4,6
CUST0145,Dennis-Costa,Education,Enterprise,12431.67,Asia Pacific,201-500,2023-07-02,2024-05-06,Churned,92.2,4
CUST0146,Herrera-Graham,Healthcare,Enterprise,8205.27,North America,1000+,2022-10-18,,Active,82.9,7
CUST0147,Davenport-Lopez,Logistics,Growth,1628.75,Middle East,1000+,2023-11-30,2024-11-13,Churned,71.4,1
CUST0148,"Greene, Austin and Douglas",Real Estate,Enterprise,5397.1,Latin America,1000+,2022-06-17,,Active,84.0,9
CUST0149,Howe-Evans,Finance,Growth,1408.75,Asia Pacific,1000+,2024-11-15,2025-07-23,Churned,50.3,0
CUST0150,"Barron, Mitchell and Ortiz",Education,Starter,378.05,Europe,51-200,2025-05-12,2025-08-02,Churned,69.5,6
CUST0151,Neal-Johnson,Retail,Growth,1433.17,Europe,501-1000,2022-09-03,2023-12-17,Churned,59.5,4
CUST0152,"Joseph, Miller and Fernandez",Healthcare,Enterprise,11448.6,Latin America,1-50,2022-05-28,,Active,80.2,9
CUST0153,"Lambert, Rodriguez and Smith",Real Estate,Starter,471.42,Latin America,201-500,2025-03-25,,Active,83.8,8
CUST0154,"Lewis, Knapp and Davis",Logistics,Starter,459.26,North America,501-1000,2025-06-19,,Active,83.6,6
CUST0155,"Haney, Ramsey and Gibson",Real Estate,Starter,386.14,Asia Pacific,201-500,2024-03-31,,Active,85.7,6
CUST0156,"Lynn, Irwin and Malone",Logistics,Enterprise,10064.8,Asia Pacific,51-200,2024-12-22,,Active,102.5,7
CUST0157,Jones-Garza,Finance,Starter,328.29,Europe,501-1000,2023-02-09,2023-08-14,Churned,52.9,4
CUST0158,Dunn Ltd,Consulting,Growth,2020.7,Asia Pacific,201-500,2025-03-02,,Active,85.5,7
CUST0159,Davis-Palmer,Education,Growth,1101.43,Middle East,1-50,2024-06-24,,Active,79.2,9
CUST0160,"Snyder, Anderson and Alvarez",Finance,Growth,1055.41,North America,1000+,2024-01-26,,Active,85.8,10
CUST0161,"Harrell, Williams and Lee",Healthcare,Enterprise,8074.86,Latin America,1000+,2025-04-03,,Active,75.9,9
CUST0162,Gonzalez and Sons,Logistics,Enterprise,6205.89,North America,1000+,2022-05-07,,Active,73.4,7
CUST0163,Jackson-Watts,Technology,Starter,348.55,Middle East,1000+,2024-06-15,,Active,88.3,8
CUST0164,"Brown, Bolton and Reese",Healthcare,Growth,1612.15,Asia Pacific,1-50,2023-11-24,,Active,91.7,8
CUST0165,"Rangel, Livingston and Anderson",Consulting,Starter,410.59,Europe,201-500,2024-03-02,,Active,97.4,8
CUST0166,"Craig, Paul and Weiss",Education,Growth,2450.54,Middle East,501-1000,2024-03-13,2024-07-07,Churned,76.7,5
CUST0167,Olson-Rodriguez,Real Estate,Growth,2218.78,Middle East,201-500,2024-12-14,2025-12-22,Churned,78.2,1
CUST0168,Miller Group,Retail,Growth,2420.5,North America,201-500,2024-09-22,2024-12-31,Churned,69.2,6
CUST0169,"Hernandez, Curry and Summers",Technology,Starter,400.54,North America,201-500,2025-01-10,,Active,93.9,10
CUST0170,Martinez Ltd,Consulting,Growth,1230.38,Europe,501-1000,2023-01-06,,Active,70.3,6
CUST0171,White PLC,Consulting,Growth,1545.45,Asia Pacific,501-1000,2023-05-02,,Active,82.9,9
CUST0172,Joseph Group,Legal,Starter,372.57,Asia Pacific,501-1000,2025-03-14,,Active,90.8,10
CUST0173,"Palmer, Ruiz and Moore",Consulting,Enterprise,8348.29,Europe,201-500,2022-11-28,,Active,95.0,8
CUST0174,Taylor-Barton,Education,Enterprise,12473.35,North America,51-200,2024-11-22,,Active,86.4,8
CUST0175,Adams and Sons,Finance,Growth,2356.96,Europe,501-1000,2022-10-29,,Active,102.7,9
CUST0176,Saunders LLC,Finance,Starter,378.29,Asia Pacific,51-200,2024-02-05,,Active,63.6,6
CUST0177,Jackson Inc,Retail,Growth,2395.24,North America,201-500,2023-11-18,,Active,93.8,7
CUST0178,"Williams, Johnson and Perez",Healthcare,Enterprise,8751.88,Asia Pacific,51-200,2025-06-14,2025-08-03,Churned,61.3,6
CUST0179,Gonzalez and Sons,Finance,Starter,408.76,Asia Pacific,51-200,2025-05-31,,Active,80.8,9
CUST0180,Gonzalez and Sons,Legal,Enterprise,11350.19,Middle East,1000+,2024-07-25,2025-10-26,Churned,71.6,0
CUST0181,Crawford LLC,Education,Enterprise,9122.01,Latin America,1-50,2023-05-11,,Active,75.3,9
CUST0182,Ward-Parks,Logistics,Starter,431.87,North America,1000+,2022-06-25,,Active,76.1,10
CUST0183,Jones PLC,Real Estate,Enterprise,11290.3,Latin America,1-50,2024-11-05,,Active,59.8,8
CUST0184,Humphrey-Macias,Finance,Enterprise,5128.94,Middle East,201-500,2022-05-19,,Active,56.6,7
CUST0185,Brown-Figueroa,Retail,Starter,369.46,Latin America,501-1000,2023-11-25,,Active,67.2,6
CUST0186,"Ward, Moses and Harris",Healthcare,Enterprise,11208.52,Europe,1-50,2024-07-26,2024-12-06,Churned,51.9,2
CUST0187,Garcia and Sons,Healthcare,Growth,1772.08,Europe,201-500,2025-01-17,,Active,69.0,8
CUST0188,Jones-Long,Real Estate,Growth,1185.71,Latin America,501-1000,2024-01-24,,Active,98.4,8
CUST0189,Mccoy Inc,Technology,Starter,398.24,Asia Pacific,1-50,2024-10-15,,Active,81.3,10
CUST0190,Mitchell PLC,Education,Starter,408.09,Asia Pacific,501-1000,2023-10-20,2024-10-19,Churned,63.2,4
CUST0191,Wolfe Ltd,Healthcare,Enterprise,8407.93,Asia Pacific,1000+,2024-06-28,,Active,91.6,6
CUST0192,Rodriguez Group,Retail,Starter,433.24,North America,51-200,2024-04-11,,Active,81.9,10
CUST0193,Riley-Owens,Logistics,Enterprise,11249.5,Asia Pacific,501-1000,2022-03-13,2022-12-09,Churned,70.9,1
CUST0194,Mcknight-Cowan,Finance,Enterprise,8598.38,Middle East,51-200,2024-01-30,,Active,81.0,10
CUST0195,Hamilton-Wilson,Finance,Growth,1596.05,North America,51-200,2023-07-25,,Active,70.1,10
CUST0196,Palmer-Clarke,Manufacturing,Starter,351.36,Middle East,201-500,2023-06-18,,Active,82.1,9
CUST0197,Foster-Sanders,Legal,Starter,323.53,North America,201-500,2022-06-01,,Active,72.7,10
CUST0198,Lopez Ltd,Retail,Enterprise,7321.9,Asia Pacific,1000+,2023-09-07,,Active,65.6,7
CUST0199,"Craig, Beltran and Conley",Legal,Starter,496.03,North America,201-500,2022-10-12,,Active,71.1,10
CUST0200,Allen LLC,Legal,Starter,421.39,Middle East,501-1000,2022-06-26,2023-09-06,Churned,64.2,6
CUST0201,Gonzales-Todd,Finance,Growth,2234.01,Latin America,501-1000,2022-06-01,2023-05-21,Churned,63.3,6
CUST0202,"Gould, Webb and Mccullough",Retail,Enterprise,10117.35,Latin America,1000+,2023-01-08,,Active,72.0,6
CUST0203,Smith-Williams,Manufacturing,Starter,402.62,Asia Pacific,1000+,2023-09-15,2024-09-09,Churned,86.3,2
CUST0204,Levine-Smith,Education,Starter,426.01,Middle East,1000+,2025-02-02,,Active,67.8,6
CUST0205,"Duncan, Perry and Alvarado",Retail,Enterprise,10126.9,Europe,1000+,2025-04-27,,Active,79.0,10
CUST0206,Davis-Turner,Consulting,Starter,464.05,Asia Pacific,51-200,2022-02-28,2024-01-15,Churned,51.9,6
CUST0207,Peck-Robinson,Technology,Enterprise,8331.69,Asia Pacific,201-500,2022-03-04,,Active,60.4,9
CUST0208,Avery-Brown,Legal,Growth,1679.32,Latin America,51-200,2022-05-03,2023-08-01,Churned,70.3,2
CUST0209,Cox-Avila,Logistics,Enterprise,6148.35,Latin America,51-200,2023-10-16,,Active,83.0,6
CUST0210,"Rice, Gregory and Owen",Manufacturing,Growth,1361.61,Europe,1-50,2022-09-08,,Active,67.6,6
CUST0211,Freeman LLC,Retail,Growth,2417.08,Asia Pacific,1000+,2025-06-14,,Active,80.6,7
CUST0212,Sullivan-Phillips,Education,Growth,2492.95,Latin America,1-50,2024-08-14,,Active,74.3,6
CUST0213,"Jones, Harmon and Miller",Healthcare,Growth,1757.17,North America,201-500,2023-05-09,2024-06-03,Churned,43.2,5
CUST0214,"Wright, Roy and Ross",Real Estate,Enterprise,8763.69,Europe,201-500,2025-01-04,2025-03-30,Churned,68.8,5
CUST0215,"Martin, Martinez and Perez",Consulting,Growth,2144.79,Middle East,51-200,2024-01-20,2024-04-11,Churned,61.6,3
CUST0216,Barton-Watson,Consulting,Enterprise,8601.84,Middle East,1-50,2025-01-31,,Active,89.5,7
CUST0217,"Schroeder, Campos and Bennett",Logistics,Starter,377.78,Europe,51-200,2023-11-26,,Active,72.3,6
CUST0218,Clarke-Rogers,Technology,Starter,306.78,Latin America,51-200,2023-11-14,,Active,74.7,10
CUST0219,"Silva, Larson and Powell",Real Estate,Enterprise,6117.25,Middle East,201-500,2025-06-09,,Active,70.1,10
CUST0220,"Marquez, Johnston and Serrano",Healthcare,Enterprise,8917.77,Asia Pacific,201-500,2025-02-26,,Active,74.1,6
CUST0221,Burnett-Warner,Education,Growth,1874.55,Middle East,1000+,2022-02-24,,Active,82.5,9
CUST0222,Ryan Inc,Real Estate,Starter,403.85,Europe,51-200,2025-06-23,,Active,85.9,6
CUST0223,"Ellison, Cox and Lucas",Logistics,Enterprise,12584.64,Latin America,51-200,2022-08-14,2023-12-08,Churned,61.1,4
CUST0224,Campbell-Ortiz,Technology,Enterprise,12363.17,Europe,1000+,2022-05-08,,Active,86.2,8
CUST0225,"Cruz, Harris and Olson",Retail,Enterprise,8825.97,Latin America,1000+,2024-02-11,,Active,75.8,8
CUST0226,Mcmillan-Carrillo,Education,Enterprise,8872.44,Europe,201-500,2023-05-20,,Active,91.4,8
CUST0227,"Gonzales, Bass and Ramirez",Logistics,Enterprise,6657.22,Middle East,201-500,2024-09-28,,Active,78.3,10
CUST0228,Carter LLC,Retail,Growth,2342.64,Asia Pacific,1-50,2024-03-19,,Active,97.2,8
CUST0229,Silva-Roberts,Legal,Enterprise,5631.24,Europe,51-200,2024-06-24,,Active,86.5,10
CUST0230,Cooper-Sanchez,Consulting,Enterprise,7171.97,Europe,51-200,2022-08-12,,Active,73.6,6
CUST0231,"Pacheco, Yates and Martin",Healthcare,Enterprise,12240.47,North America,501-1000,2023-04-08,,Active,75.4,7
CUST0232,Robinson-Hanna,Legal,Starter,491.9,Latin America,51-200,2022-11-20,,Active,93.9,8
CUST0233,Perez-Davenport,Finance,Growth,1427.12,Middle East,51-200,2022-05-02,,Active,63.2,6
CUST0234,Williams Ltd,Healthcare,Starter,382.58,Latin America,501-1000,2022-12-27,,Active,77.8,7
CUST0235,Bennett PLC,Healthcare,Enterprise,12696.05,Asia Pacific,1000+,2023-08-16,,Active,60.0,8
