usage_id,customer_id,usage_date,feature,session_minutes,actions_count
USG00058,CUST0409,2025-11-24,API Access,3.0,36
USG00059,CUST0384,2025-09-15,Analytics,16.9,33
USG00060,CUST0198,2025-07-25,API Access,10.2,39
USG00061,CUST0300,2024-05-01,Analytics,11.3,33
USG00062,CUST0321,2022-09-03,User Management,3.3,65
USG00063,CUST0240,2022-02-05,Dashboard,49.1,2
USG00064,CUST0278,2022-08-13,Automation,25.7,57
USG00065,CUST0209,2024-07-05,Bulk Import,5.7,13
USG00066,CUST0013,2024-08-30,Automation,12.8,23
USG00067,CUST0153,2023-01-05,Integrations,7.1,70
USG00068,CUST0078,2023-04-03,Notifications,10.0,22
USG00069,CUST0013,2022-10-17,Automation,23.0,35
USG00070,CUST0256,2022-08-25,API Access,5.8,61
USG00071,CUST0386,2024-01-26,Notifications,13.9,54
USG00072,CUST0499,2024-06-14,Reporting,0.8,7
USG00073,CUST0025,2023-12-21,Audit Logs,1.6,16
USG00074,CUST0414,2024-02-20,Integrations,18.6,35
USG00075,CUST0392,2023-05-04,Audit Logs,4.4,27
USG00076,CUST0442,2024-11-06,Audit Logs,1.6,8
USG00077,CUST0102,2025-04-20,Analytics,59.7,29
USG00078,CUST0068,2023-10-18,API Access,18.1,68
USG00079,CUST0035,2022-02-08,Bulk Import,11.8,64
USG00080,CUST0190,2024-08-01,API Access,1.9,28
USG00081,CUST0085,2023-04-03,Bulk Import,2.6,25
USG00082,CUST0385,2025-09-24,Bulk Import,5.9,33
USG00083,CUST0304,2025-07-31,API Access,0.3,26
USG00084,CUST0499,2022-06-29,Automation,12.7,39
USG00085,CUST0300,2025-01-29,User Management,3.5,29
USG00086,CUST0121,2024-04-05,User Management,84.4,59
USG00087,CUST0033,2024-08-20,Notifications,5.2,63
USG00088,CUST0038,2022-05-17,Dashboard,9.9,25
USG00089,CUST0314,2023-12-10,User Management,28.1,73
USG00090,CUST0380,2023-01-12,Notifications,15.5,11
USG00091,CUST0495,2024-12-29,Integrations,37.9,22
USG00092,CUST0020,2024-09-11,Notifications,6.8,77
USG00093,CUST0479,2025-06-11,Dashboard,10.3,3
USG00094,CUST0235,2024-11-01,Analytics,17.2,50
USG00095,CUST0008,2024-01-07,Analytics,9.3,13
USG00096,CUST0067,2025-02-12,Integrations,14.4,17
USG00097,CUST0314,2025-12-17,Dashboard,78.2,41
USG00098,CUST0396,2023-09-16,Automation,8.1,31
USG00099,CUST0017,2024-10-06,API Access,4.5,26
USG00100,CUST0079,2023-02-10,Reporting,57.0,75
USG00101,CUST0316,2022-10-03,Bulk Import,17.9,53
USG00102,CUST0485,2022-07-13,Bulk Import,20.9,16
USG00103,CUST0036,2023-10-17,Analytics,14.2,28
USG00104,CUST0197,2023-10-12,User Management,28.8,49
USG00105,CUST0414,2025-09-29,Integrations,3.4,54
USG00106,CUST0240,2025-03-08,Audit Logs,19.7,44
USG00107,CUST0192,2024-12-18,Automation,1.0,26
USG00108,CUST0228,2023-12-18,Bulk Import,1.1,71
USG00109,CUST0197,2024-01-25,Analytics,17.7,32
USG00110,CUST0199,2023-08-17,Audit Logs,1.8,6
USG00111,CUST0399,2023-12-14,Automation,6.2,72
USG00112,CUST0384,2023-05-07,Reporting,40.3,24
USG00113,CUST0342,2022-12-02,Notifications,33.6,57
USG00114,CUST0398,2023-03-06,User Management,0.9,75
USG00115,CUST0276,2025-07-06,Automation,2.7,65
USG00116,CUST0062,2025-02-14,Reporting,8.8,61
USG00117,CUST0068,2024-10-02,Notifications,19.7,16
USG00118,CUST0004,2023-08-06,Dashboard,3.5,63
USG00119,CUST0326,2024-06-13,Reporting,12.4,41
USG00120,CUST0352,2023-06-20,Reporting,11.6,79
USG00121,CUST0051,2023-07-12,Bulk Import,0.1,8
USG00122,CUST0020,2022-02-01,Reporting,4.6,8
USG00123,CUST0274,2025-11-08,Integrations,23.0,36
USG00124,CUST0261,2025-04-20,Dashboard,5.3,2
USG00125,CUST0062,2023-05-22,Audit Logs,3.2,46
USG00126,CUST0038,2025-02-17,Reporting,15.6,60
USG00127,CUST0184,2022-10-29,User Management,6.1,58
USG00128,CUST0106,2023-08-15,API Access,8.5,67
USG00129,CUST0134,2023-09-28,Analytics,14.8,13
USG00130,CUST0295,2025-11-10,Bulk Import,24.6,26
USG00131,CUST0163,2024-03-24,API Access,17.5,57
USG00132,CUST0242,2022-04-02,Audit Logs,2.0,66
USG00133,CUST0358,2025-11-09,Reporting,16.6,78
USG00134,CUST0165,2024-11-12,Automation,4.5,67
USG00135,CUST0348,2024-02-09,API Access,9.9,73
USG00136,CUST0368,2025-07-24,Audit Logs,8.6,10
USG00137,CUST0106,2024-04-05,Analytics,20.7,75
USG00138,CUST0091,2025-03-21,Audit Logs,37.0,59
USG00139,CUST0322,2025-10-12,Dashboard,20.2,65
USG00140,CUST0244,2024-05-19,Analytics,7.9,38
USG00141,CUST0400,2024-05-18,API Access,33.0,58
USG00142,CUST0343,2023-10-17,Audit Logs,43.1,60
USG00143,CUST0382,2024-09-14,Automation,21.2,65
USG00144,CUST0012,2024-08-04,API Access,0.6,53
USG00145,CUST0411,2023-01-29,Automation,27.3,31
USG00146,CUST0279,2023-04-04,Audit Logs,4.9,60
USG00147,CUST0190,2025-11-16,Reporting,47.0,23
USG00148,CUST0337,2025-02-25,Bulk Import,9.3,44
USG00149,CUST0348,2024-07-03,Automation,18.6,70
USG00150,CUST0371,2024-01-24,User Management,33.0,1
USG00151,CUST0151,2024-01-07,Integrations,1.5,59
USG00152,CUST0494,2023-03-07,Integrations,1.2,28
USG00153,CUST0002,2023-11-12,Bulk Import,28.8,72
USG00154,CUST0464,2025-07-11,Bulk Import,13.4,2
USG00155,CUST0478,2025-10-16,Integrations,16.0,45
USG00156,CUST0258,2024-10-20,Analytics,17.3,28
USG00157,CUST0044,2024-12-06,Bulk Import,4.4,5
USG00158,CUST0340,2025-04-07,Reporting,32.2,77
USG00159,CUST0206,2022-01-21,Analytics,2.5,11
USG00160,CUST0268,2023-08-01,Automation,26.7,38
USG00161,CUST0492,2025-02-26,Notifications,6.7,59
USG00162,CUST0002,2025-01-23,User Management,14.0,51
USG00163,CUST0381,2022-08-17,Notifications,25.3,21
USG00164,CUST0231,2024-12-18,API Access,31.8,49
USG00165,CUST0188,2023-02-18,Analytics,8.4,7
USG00166,CUST0459,2023-05-29,Reporting,9.7,19
USG00167,CUST0499,2025-11-22,Analytics,59.8,23
USG00168,CUST0211,2024-11-01,Audit Logs,8.6,72
USG00169,CUST0043,2022-04-27,Reporting,39.8,32
USG00170,CUST0111,2022-07-26,API Access,37.4,51
USG00171,CUST0329,2022-05-07,Reporting,20.3,80
USG00172,CUST0058,2024-08-10,Reporting,11.3,1
USG00173,CUST0212,2023-11-15,Audit Logs,15.3,77
USG00174,CUST0120,2022-04-03,Notifications,29.9,67
USG00175,CUST0318,2025-02-01,Dashboard,2.9,11
USG00176,CUST0191,2025-02-11,Audit Logs,18.8,5
USG00177,CUST0244,2023-01-26,User Management,8.7,12
USG00178,CUST0370,2023-08-28,Reporting,50.1,62
USG00179,CUST0363,2023-06-10,Reporting,5.9,45
USG00180,CUST0286,2023-11-03,Reporting,29.6,24
USG00181,CUST0444,2023-02-27,API Access,8.2,10
USG00182,CUST0323,2023-09-10,Audit Logs,1.6,53
USG00183,CUST0317,2022-02-18,Automation,8.7,30
USG00184,CUST0402,2023-09-23,Bulk Import,9.2,3
USG00185,CUST0043,2023-08-27,User Management,4.2,23
USG00186,CUST0363,2023-10-12,Dashboard,1.2,73
USG00187,CUST0069,2024-01-20,Automation,9.1,60
USG00188,CUST0014,2024-03-15,Analytics,17.1,62
USG00189,CUST0379,2025-07-04,Reporting,31.1,27
USG00190,CUST0210,2023-09-25,API Access,2.9,36
USG00191,CUST0424,2024-06-06,User Management,26.5,9
USG00192,CUST0071,2023-10-10,Automation,7.6,4
USG00193,CUST0450,2025-10-01,User Management,3.9,45
USG00194,CUST0139,2022-06-05,Bulk Import,5.8,49
USG00195,CUST0416,2025-05-10,Integrations,16.5,33
USG00196,CUST0006,2024-04-07,API Access,1.9,27
USG00197,CUST0112,2024-07-22,Reporting,0.9,39
USG00198,CUST0489,2025-04-08,Reporting,36.1,55
USG00199,CUST0181,2023-07-28,Automation,60.9,34
USG00200,CUST0168,2025-12-27,Dashboard,23.8,72
USG00201,CUST0077,2022-11-21,Dashboard,8.1,78
USG00202,CUST0074,2024-02-24,Automation,4.9,20
USG00203,CUST0035,2024-03-11,Integrations,6.9,29
USG00204,CUST0105,2025-02-05,Analytics,8.1,16
USG00205,CUST0085,2025-11-23,Audit Logs,3.3,38
USG00206,CUST0471,2022-08-10,Integrations,12.9,28
USG00207,CUST0002,2022-02-24,Analytics,3.4,31
USG00208,CUST0171,2022-08-19,Bulk Import,4.3,80
USG00209,CUST0132,2024-01-16,Reporting,9.6,74
USG00210,CUST0070,2024-07-10,Analytics,2.3,74
USG00211,CUST0339,2024-10-03,Audit Logs,29.9,13
USG00212,CUST0369,2025-06-09,Integrations,4.9,42
USG00213,CUST0443,2023-05-25,Automation,8.1,11
USG00214,CUST0372,2023-05-22,API Access,10.2,70
USG00215,CUST0307,2022-10-09,User Management,71.9,3
USG00216,CUST0189,2025-11-18,Dashboard,15.4,14
USG00217,CUST0211,2024-07-03,Notifications,1.7,55
USG00218,CUST0427,2024-12-25,Audit Logs,13.9,10
USG00219,CUST0418,2022-09-21,User Management,6.0,71
USG00220,CUST0122,2022-07-18,Analytics,3.9,17
USG00221,CUST0475,2022-01-09,Automation,13.3,37
USG00222,CUST0015,2025-11-27,Notifications,37.9,19
USG00223,CUST0461,2022-11-29,Automation,42.6,18
USG00224,CUST0198,2024-06-05,Automation,10.9,72
USG00225,CUST0126,2024-03-15,Bulk Import,24.7,21
USG00226,CUST0264,2022-08-02,User Management,7.5,18
USG00227,CUST0410,2024-09-20,Bulk Import,5.9,45
USG00228,CUST0484,2023-07-23,User Management,11.3,12
USG00229,CUST0343,2023-10-02,Automation,5.7,10
USG00230,CUST0003,2024-07-27,Audit Logs,6.4,5
USG00231,CUST0303,2023-10-21,Integrations,25.4,28
USG00232,CUST0137,2023-05-21,Integrations,5.6,35
USG00233,CUST0041,2023-04-21,User Management,23.4,16
USG00234,CUST0457,2025-04-17,API Access,6.9,1
USG00235,CUST0164,2025-08-28,Audit Logs,10.7,41
USG00236,CUST0394,2023-06-25,Notifications,2.6,70
USG00237,CUST0206,2023-10-22,Notifications,0.5,55
USG00238,CUST0329,2023-12-11,Dashboard,2.0,55
USG00239,CUST0417,2023-01-19,Dashboard,6.4,58
USG00240,CUST0344,2022-09-13,User Management,17.1,37
USG00241,CUST0426,2024-09-01,Integrations,6.0,33
USG00242,CUST0464,2022-09-22,Analytics,2.2,23
USG00243,CUST0399,2025-11-03,Automation,0.1,55
USG00244,CUST0427,2022-04-16,Bulk Import,34.8,66
USG00245,CUST0136,2024-08-28,Bulk Import,34.6,77
USG00246,CUST0396,2023-01-09,Integrations,113.5,75
USG00247,CUST0265,2023-12-31,Integrations,17.7,1
USG00248,CUST0019,2025-04-30,User Management,26.2,26
USG00249,CUST0003,2025-10-22,User Management,12.2,11
USG00250,CUST0169,2022-11-18,Notifications,36.1,75
USG00251,CUST0103,2025-04-03,Dashboard,3.3,12
USG00252,CUST0017,2025-10-09,Integrations,3.3,77
USG00253,CUST0437,2022-10-06,API Access,32.7,74
USG00254,CUST0467,2025-03-14,Bulk Import,41.5,32
USG00255,CUST0258,2025-06-08,User Management,47.5,22
USG00256,CUST0335,2022-03-11,Automation,3.5,22
USG00257,CUST0235,2025-02-02,Dashboard,34.8,60
USG00258,CUST0370,2022-03-07,Dashboard,4.8,69
USG00259,CUST0080,2022-08-05,API Access,0.9,49
USG00260,CUST0421,2022-10-31,User Management,8.6,65
USG00261,CUST0401,2025-02-25,Audit Logs,8.3,74
USG00262,CUST0122,2025-10-13,Dashboard,14.0,15
USG00263,CUST0427,2022-06-22,Integrations,2.7,66
USG00264,CUST0324,2024-02-24,Dashboard,0.4,74
USG00265,CUST0461,2024-07-24,User Management,15.5,15
USG00266,CUST0080,2024-06-24,Reporting,8.4,75
USG00267,CUST0362,2023-04-26,Analytics,6.3,65
USG00268,CUST0120,2023-05-24,Notifications,2.4,45
USG00269,CUST0486,2025-09-19,Dashboard,25.3,19
USG00270,CUST0246,2025-03-25,Analytics,12.7,67
USG00271,CUST0077,2023-07-06,Automation,21.6,73
USG00272,CUST0407,2025-11-09,Notifications,14.0,55
USG00273,CUST0496,2022-06-02,API Access,6.7,24
USG00274,CUST0241,2025-03-07,API Access,20.1,77
USG00275,CUST0172,2023-10-26,Notifications,1.5,75
USG00276,CUST0236,2025-10-07,Notifications,1.0,60
USG00277,CUST0480,2025-05-14,Reporting,24.4,7
USG00278,CUST0183,2023-01-22,Automation,9.2,29
USG00279,CUST0368,2025-07-02,Integrations,2.2,61
USG00280,CUST0139,2023-06-29,Dashboard,56.9,12
USG00281,CUST0294,2024-12-27,Bulk Import,18.7,56
USG00282,CUST0327,2022-08-14,User Management,19.8,70
USG00283,CUST0365,2024-02-08,Reporting,1.2,39
USG00284,CUST0113,2022-08-26,Reporting,33.5,67
USG00285,CUST0173,2025-06-25,API Access,17.0,77
USG00286,CUST0104,2022-08-23,Audit Logs,2.9,50
USG00287,CUST0254,2025-04-04,API Access,2.3,27
USG00288,CUST0184,2025-09-01,Analytics,9.9,71
USG00289,CUST0092,2023-04-02,Reporting,4.4,58
USG00290,CUST0366,2022-02-17,Dashboard,21.7,73
USG00291,CUST0424,2022-08-28,Reporting,0.1,53
USG00292,CUST0195,2022-12-04,Integrations,5.8,35
USG00293,CUST0185,2024-02-27,API Access,26.7,73
USG00294,CUST0259,2023-10-06,Reporting,19.7,78
USG00295,CUST0494,2024-10-23,Reporting,18.5,63
USG00296,CUST0393,2025-09-21,API Access,35.2,9
USG00297,CUST0488,2025-05-09,Reporting,7.7,31
USG00298,CUST0314,2025-02-16,Dashboard,40.1,28
USG00299,CUST0216,2025-05-18,User Management,13.7,77
USG00300,CUST0162,2023-08-04,Audit Logs,5.7,68
USG00301,CUST0035,2022-05-23,Dashboard,56.2,54
USG00302,CUST0465,2024-03-31,Audit Logs,14.0,78
USG00303,CUST0418,2023-03-19,Automation,49.0,25
USG00304,CUST0068,2024-08-21,Audit Logs,57.7,22
USG00305,CUST0305,2024-02-28,User Management,0.3,31
USG00306,CUST0102,2024-07-04,API Access,0.1,73
USG00307,CUST0253,2025-03-06,Dashboard,19.2,56
USG00308,CUST0221,2024-11-22,Reporting,1.1,58
USG00309,CUST0085,2025-03-24,Reporting,10.5,49
USG00310,CUST0291,2022-02-06,API Access,16.7,4
USG00311,CUST0420,2023-11-04,Automation,23.2,38
USG00312,CUST0459,2023-12-26,API Access,22.5,26
USG00313,CUST0472,2022-06-24,Bulk Import,8.2,56
USG00314,CUST0303,2023-11-12,User Management,38.8,32
USG00315,CUST0202,2024-08-04,Bulk Import,2.0,19
USG00316,CUST0186,2024-04-20,Bulk Import,14.3,16
USG00317,CUST0005,2025-07-09,Bulk Import,37.2,31
USG00318,CUST0136,2022-06-15,Audit Logs,11.2,28
USG00319,CUST0017,2025-07-09,Bulk Import,2.3,55
USG00320,CUST0102,2022-12-20,API Access,7.4,68
USG00321,CUST0423,2022-06-23,Audit Logs,18.9,22
USG00322,CUST0143,2024-08-06,Analytics,1.9,47
USG00323,CUST0298,2025-01-22,Dashboard,10.8,65
USG00324,CUST0309,2023-09-30,Integrations,5.5,60
USG00325,CUST0338,2025-12-04,Dashboard,1.1,18
USG00326,CUST0234,2023-12-08,Audit Logs,10.6,53
USG00327,CUST0246,2022-07-09,Integrations,7.4,39
USG00328,CUST0329,2025-01-21,User Management,28.7,57
USG00329,CUST0446,2023-12-24,Reporting,16.3,9
USG00330,CUST0199,2025-06-14,Dashboard,63.3,9
USG00331,CUST0482,2025-09-12,User Management,0.5,76
USG00332,CUST0442,2023-11-17,User Management,48.1,39
USG00333,CUST0243,2025-03-16,Analytics,3.4,48
USG00334,CUST0112,2022-08-13,Analytics,7.7,71
USG00335,CUST0369,2025-06-13,Notifications,30.5,28
USG00336,CUST0220,2025-10-10,Dashboard,11.0,52
USG00337,CUST0306,2024-04-03,Notifications,7.9,20
USG00338,CUST0292,2025-08-12,User Management,3.6,31
USG00339,CUST0080,2023-10-19,Notifications,16.0,64
USG00340,CUST0007,2023-12-12,Bulk Import,1.2,17
USG00341,CUST0221,2022-04-30,Notifications,10.4,30
USG00342,CUST0338,2023-11-02,Dashboard,20.3,80
USG00343,CUST0328,2024-11-13,Dashboard,37.3,73
USG00344,CUST0109,2022-10-27,Notifications,2.3,54
USG00345,CUST0323,2023-02-27,Audit Logs,18.7,46
USG00346,CUST0141,2024-05-09,Dashboard,1.6,58
USG00347,CUST0134,2024-05-03,API Access,7.4,9
USG00348,CUST0279,2023-02-22,Integrations,28.3,56
USG00349,CUST0077,2023-11-19,User Management,50.0,58
USG00350,CUST0392,2022-01-12,Reporting,20.0,71
USG00351,CUST0099,2023-02-19,Integrations,18.6,8
USG00352,CUST0042,2023-10-27,Automation,0.8,52
USG00353,CUST0369,2023-09-25,Dashboard,27.3,13
USG00354,CUST0423,2024-02-02,Automation,4.8,10
USG00355,CUST0264,2023-08-28,Bulk Import,4.5,54
USG00356,CUST0137,2025-02-11,Notifications,7.5,14
USG00357,CUST0196,2023-06-14,Bulk Import,48.8,31
USG00358,CUST0187,2023-08-13,Audit Logs,2.9,45
USG00359,CUST0115,2025-12-12,Audit Logs,9.6,47
USG00360,CUST0434,2024-08-14,Reporting,8.6,25
USG00361,CUST0023,2023-03-05,Dashboard,4.2,17
USG00362,CUST0122,2024-06-07,Bulk Import,22.5,66
USG00363,CUST0035,2022-01-07,Reporting,12.9,11
USG00364,CUST0271,2023-11-16,API Access,12.1,12
USG00365,CUST0361,2024-01-24,Reporting,3.5,70
USG00366,CUST0424,2025-11-19,Automation,6.2,10
USG00367,CUST0368,2025-12-31,Reporting,16.2,39
USG00368,CUST0211,2025-11-29,API Access,17.9,61
USG00369,CUST0358,2024-03-06,Audit Logs,25.3,49
USG00370,CUST0115,2023-02-17,Analytics,10.8,14
USG00371,CUST0079,2022-09-09,Integrations,0.8,40
USG00372,CUST0467,2025-11-14,Notifications,21.2,16
USG00373,CUST0500,2024-06-29,API Access,8.6,80
USG00374,CUST0120,2022-12-20,Automation,93.5,7
USG00375,CUST0412,2023-01-14,User Management,68.7,17
USG00376,CUST0182,2024-07-10,Reporting,9.3,50
USG00377,CUST0243,2023-03-21,Automation,24.0,46
USG00378,CUST0386,2025-05-12,Audit Logs,17.4,21
USG00379,CUST0388,2022-05-16,Reporting,6.9,79
USG00380,CUST0122,2022-01-18,Audit Logs,48.2,75
USG00381,CUST0170,2022-04-24,Analytics,30.1,55
USG00382,CUST0499,2022-09-15,Dashboard,18.1,15
USG00383,CUST0129,2022-07-11,Notifications,45.5,32
USG00384,CUST0057,2022-06-09,Dashboard,17.1,15
USG00385,CUST0023,2025-10-26,User Management,9.0,7
USG00386,CUST0256,2023-01-16,Dashboard,6.7,44
USG00387,CUST0266,2024-05-05,Bulk Import,30.0,45
USG00388,CUST0069,2023-02-15,Bulk Import,33.2,46
USG00389,CUST0169,2025-11-05,Integrations,2.6,68
USG00390,CUST0182,2025-03-20,Integrations,24.1,2
USG00391,CUST0128,2023-03-16,Integrations,6.6,68
USG00392,CUST0422,2022-02-15,Notifications,26.7,53
USG00393,CUST0475,2025-12-26,Analytics,7.9,61
USG00394,CUST0220,2023-10-07,User Management,4.3,46
USG00395,CUST0450,2022-12-03,Bulk Import,15.1,33
USG00396,CUST0329,2022-05-30,Integrations,37.2,38
USG00397,CUST0266,2023-04-30,User Management,10.9,75
USG00398,CUST0096,2022-05-15,Reporting,9.4,66
USG00399,CUST0211,2024-08-11,Bulk Import,20.5,16
USG00400,CUST0435,2022-10-24,Integrations,4.3,35
USG00401,CUST0063,2025-07-23,Audit Logs,28.8,36
USG00402,CUST0352,2025-09-29,User Management,13.8,68
USG00403,CUST0276,2025-09-23,Analytics,27.1,40
USG00404,CUST0235,2023-11-04,Reporting,21.7,23
USG00405,CUST0090,2024-01-24,Notifications,2.7,76
USG00406,CUST0072,2022-09-29,Analytics,22.8,62
USG00407,CUST0050,2023-02-20,Audit Logs,1.6,30
USG00408,CUST0369,2022-09-23,Notifications,9.3,37
USG00409,CUST0041,2022-08-25,Integrations,4.3,77
USG00410,CUST0272,2023-06-25,API Access,24.2,19
USG00411,CUST0359,2025-03-15,Reporting,32.5,57
USG00412,CUST0133,2022-01-22,Analytics,28.4,57
USG00413,CUST0008,2025-09-28,Automation,1.1,80
USG00414,CUST0449,2024-08-01,Bulk Import,0.5,79
USG00415,CUST0484,2023-03-14,User Management,9.2,51
USG00416,CUST0122,2024-09-07,API Access,62.3,28
USG00417,CUST0438,2025-05-12,Reporting,25.7,75
USG00418,CUST0435,2025-01-29,Integrations,13.1,73
USG00419,CUST0259,2024-11-10,Automation,38.7,42
USG00420,CUST0009,2023-04-29,Audit Logs,12.5,69
USG00421,CUST0008,2023-10-22,API Access,0.2,5
USG00422,CUST0306,2022-09-01,API Access,1.8,12
USG00423,CUST0210,2022-09-30,Notifications,62.6,43
USG00424,CUST0309,2025-07-23,Analytics,3.2,61
USG00425,CUST0412,2025-12-17,Analytics,46.9,60
USG00426,CUST0331,2022-12-29,User Management,4.7,65
USG00427,CUST0266,2023-09-17,User Management,37.0,53
USG00428,CUST0321,2023-12-20,Reporting,22.2,35
USG00429,CUST0471,2024-07-15,API Access,4.1,5
USG00430,CUST0054,2023-06-16,Analytics,24.9,32
USG00431,CUST0422,2023-10-21,API Access,6.0,1
USG00432,CUST0070,2025-09-04,Integrations,2.7,79
USG00433,CUST0465,2024-12-03,Bulk Import,6.3,13
USG00434,CUST0162,2022-09-20,Dashboard,57.8,78
USG00435,CUST0194,2025-02-07,Audit Logs,13.2,30
USG00436,CUST0017,2025-03-04,Integrations,19.1,24
USG00437,CUST0116,2022-03-23,Integrations,22.8,40
USG00438,CUST0333,2024-10-20,Analytics,9.4,76
USG00439,CUST0340,2025-10-24,Analytics,36.8,26
USG00440,CUST0087,2022-11-22,Bulk Import,3.2,53
USG00441,CUST0347,2022-05-04,Dashboard,19.8,77
USG00442,CUST0426,2025-09-20,Notifications,12.0,42
USG00443,CUST0079,2023-08-25,Audit Logs,19.3,24
USG00444,CUST0288,2025-05-09,API Access,16.1,15
USG00445,CUST0110,2023-03-22,API Access,7.3,25
USG00446,CUST0042,2022-11-28,API Access,4.5,26
USG00447,CUST0336,2023-06-14,Analytics,10.1,29
USG00448,CUST0364,2024-05-22,Notifications,18.1,56
USG00449,CUST0234,2022-02-16,Automation,17.9,35
USG00450,CUST0403,2023-01-11,Reporting,1.4,34
USG00451,CUST0377,2023-11-08,Notifications,3.6,45
USG00452,CUST0297,2023-04-11,Integrations,1.9,71
USG00453,CUST0282,2023-12-22,API Access,0.0,50
USG00454,CUST0260,2025-05-05,User Management,28.8,2
USG00455,CUST0274,2024-12-06,Automation,23.4,7
USG00456,CUST0362,2022-11-01,Bulk Import,12.6,75
USG00457,CUST0457,2025-04-02,Integrations,28.4,69
USG00458,CUST0002,2025-02-18,Analytics,37.6,65
USG00459,CUST0459,2022-01-30,Reporting,0.6,44
USG00460,CUST0420,2023-01-04,Bulk Import,7.6,40
USG00461,CUST0138,2022-03-07,API Access,3.5,28
USG00462,CUST0155,2024-05-20,Reporting,53.4,13
USG00463,CUST0336,2023-04-24,Notifications,0.3,21
USG00464,CUST0389,2023-06-18,Integrations,40.8,6
USG00465,CUST0330,2025-09-11,API Access,1.0,80
USG00466,CUST0231,2022-01-10,Notifications,15.2,30
USG00467,CUST0477,2024-06-25,Notifications,23.8,66
USG00468,CUST0289,2022-04-07,User Management,12.8,75
USG00469,CUST0078,2023-12-14,Audit Logs,0.5,46
USG00470,CUST0315,2022-12-16,User Management,14.6,58
USG00471,CUST0410,2025-07-20,Dashboard,6.6,40
USG00472,CUST0392,2022-08-02,User Management,0.1,66
USG00473,CUST0309,2024-11-27,Notifications,12.0,74
USG00474,CUST0172,2022-06-08,API Access,21.6,52
USG00475,CUST0483,2022-11-25,Integrations,16.1,26
USG00476,CUST0353,2025-04-07,Dashboard,17.8,51
USG00477,CUST0432,2023-08-01,Dashboard,6.6,62
USG00478,CUST0292,2025-11-13,Automation,4.7,80
