onboarding_id,customer_id,stage,start_date,completion_date,completed,days_to_complete,blocker
ONB0048,CUST0048,Go-Live,2024-06-12,2024-07-03,True,21.0,None
ONB0049,CUST0049,Go-Live,2022-09-13,,False,,Stakeholder unavailability
ONB0050,CUST0050,Go-Live,2024-05-11,2024-07-02,True,52.0,None
ONB0051,CUST0051,Go-Live,2022-01-01,2022-01-19,True,18.0,None
ONB0052,CUST0052,Go-Live,2024-11-12,2024-12-10,True,28.0,None
ONB0053,CUST0053,Account Setup,2023-11-18,,False,,Data quality issues
ONB0054,CUST0054,Go-Live,2022-05-30,2022-07-05,True,36.0,None
ONB0055,CUST0055,Account Setup,2022-01-12,,False,,Integration complexity
ONB0056,CUST0056,Go-Live,2023-05-26,2023-06-25,True,30.0,None
ONB0057,CUST0057,Go-Live,2025-02-18,2025-04-07,True,48.0,None
ONB0058,CUST0058,Go-Live,2024-08-30,2024-10-02,True,33.0,None
ONB0059,CUST0059,Go-Live,2024-06-19,2024-08-17,True,59.0,None
ONB0060,CUST0060,Go-Live,2022-11-09,2022-12-25,True,46.0,None
ONB0061,CUST0061,Go-Live,2022-05-08,2022-06-22,True,45.0,None
ONB0062,CUST0062,Go-Live,2023-12-22,2024-01-27,True,36.0,None
ONB0063,CUST0063,Go-Live,2024-09-26,2024-10-27,True,31.0,None
ONB0064,CUST0064,Go-Live,2024-08-15,2024-08-31,True,16.0,None
ONB0065,CUST0065,Go-Live,2022-02-25,2022-04-20,True,54.0,None
ONB0066,CUST0066,Go-Live,2024-02-16,2024-04-10,True,54.0,None
ONB0067,CUST0067,Go-Live,2022-04-17,2022-06-10,True,54.0,None
ONB0068,CUST0068,Go-Live,2022-02-11,2022-03-21,True,38.0,None
ONB0069,CUST0069,Go-Live,2024-08-10,2024-09-09,True,30.0,None
ONB0070,CUST0070,Go-Live,2022-08-10,2022-09-18,True,39.0,None
ONB0071,CUST0071,Go-Live,2025-04-27,2025-06-03,True,37.0,None
ONB0072,CUST0072,Data Migration,2023-12-13,,False,,Data quality issues
ONB0073,CUST0073,Data Migration,2024-09-30,,False,,Scope changes
ONB0074,CUST0074,Go-Live,2025-01-07,2025-01-27,True,20.0,None
ONB0075,CUST0075,Go-Live,2022-06-27,2022-08-21,True,55.0,None
ONB0076,CUST0076,Go-Live,2023-10-28,2023-12-16,True,49.0,None
ONB0077,CUST0077,Go-Live,2023-07-20,2023-08-20,True,31.0,None
ONB0078,CUST0078,Go-Live,2024-10-02,2024-11-08,True,37.0,None
ONB0079,CUST0079,Go-Live,2023-09-20,2023-11-04,True,45.0,None
ONB0080,CUST0080,Go-Live,2024-07-18,2024-08-15,True,28.0,None
ONB0081,CUST0081,Go-Live,2025-01-02,2025-02-04,True,33.0,None
ONB0082,CUST0082,Go-Live,2022-07-25,2022-08-08,True,14.0,None
ONB0083,CUST0083,Go-Live,2024-12-29,2025-01-15,True,17.0,None
ONB0084,CUST0084,Go-Live,2022-01-26,2022-03-06,True,39.0,None
ONB0085,CUST0085,Data Migration,2023-06-02,,False,,Scope changes
ONB0086,CUST0086,Go-Live,2025-02-26,2025-04-20,True,53.0,None
ONB0087,CUST0087,Go-Live,2025-06-20,2025-07-09,True,19.0,None
ONB0088,CUST0088,Go-Live,2025-06-25,2025-07-24,True,29.0,None
ONB0089,CUST0089,Go-Live,2022-12-22,2023-01-05,True,14.0,None
ONB0090,CUST0090,Go-Live,2023-08-03,,False,,Integration complexity
ONB0091,CUST0091,Integration Config,2023-02-10,,False,,Stakeholder unavailability
ONB0092,CUST0092,Go-Live,2023-09-22,2023-11-13,True,52.0,None
ONB0093,CUST0093,Go-Live,2024-04-04,2024-06-02,True,59.0,None
ONB0094,CUST0094,Go-Live,2023-05-28,2023-06-12,True,15.0,None
ONB0095,CUST0095,Go-Live,2025-03-26,2025-05-22,True,57.0,None
ONB0096,CUST0096,User Training,2024-10-04,,False,,Integration complexity
ONB0097,CUST0097,Go-Live,2022-11-26,2023-01-25,True,60.0,None
ONB0098,CUST0098,Integration Config,2023-10-25,,False,,IT approval delay
ONB0099,CUST0099,Account Setup,2024-11-27,,False,,Data quality issues
ONB0100,CUST0100,Go-Live,2024-09-19,2024-11-17,True,59.0,None
ONB0101,CUST0101,Go-Live,2024-04-15,2024-06-06,True,52.0,None
ONB0102,CUST0102,Go-Live,2024-09-15,2024-10-24,True,39.0,None
ONB0103,CUST0103,Go-Live,2025-05-12,2025-07-04,True,53.0,None
ONB0104,CUST0104,Go-Live,2022-01-06,2022-02-26,True,51.0,None
ONB0105,CUST0105,Go-Live,2024-09-18,2024-10-31,True,43.0,None
ONB0106,CUST0106,Go-Live,2024-02-24,2024-03-21,True,26.0,None
ONB0107,CUST0107,Go-Live,2024-02-20,2024-04-14,True,54.0,None
ONB0108,CUST0108,Go-Live,2024-06-20,2024-07-16,True,26.0,None
ONB0109,CUST0109,Go-Live,2022-06-03,2022-06-22,True,19.0,None
ONB0110,CUST0110,Go-Live,2024-02-18,2024-03-30,True,41.0,None
ONB0111,CUST0111,Go-Live,2023-08-12,2023-08-29,True,17.0,None
ONB0112,CUST0112,Go-Live,2023-09-06,2023-09-21,True,15.0,None
ONB0113,CUST0113,Go-Live,2022-10-26,,False,,IT approval delay
ONB0114,CUST0114,Go-Live,2024-10-16,2024-11-21,True,36.0,None
ONB0115,CUST0115,Go-Live,2022-01-20,2022-02-12,True,23.0,None
ONB0116,CUST0116,Go-Live,2024-05-18,2024-07-09,True,52.0,None
ONB0117,CUST0117,Go-Live,2024-02-21,2024-03-09,True,17.0,None
ONB0118,CUST0118,Go-Live,2022-04-11,2022-05-27,True,46.0,None
ONB0119,CUST0119,Go-Live,2023-01-25,2023-02-24,True,30.0,None
ONB0120,CUST0120,Go-Live,2022-07-04,2022-08-13,True,40.0,None
ONB0121,CUST0121,Go-Live,2024-01-20,2024-02-11,True,22.0,None
ONB0122,CUST0122,Go-Live,2022-08-24,2022-10-10,True,47.0,None
ONB0123,CUST0123,Go-Live,2024-03-19,2024-04-29,True,41.0,None
ONB0124,CUST0124,Go-Live,2024-01-31,2024-02-26,True,26.0,None
ONB0125,CUST0125,Go-Live,2023-03-30,2023-04-16,True,17.0,None
ONB0126,CUST0126,Go-Live,2022-08-26,2022-10-03,True,38.0,None
ONB0127,CUST0127,Go-Live,2025-01-11,2025-02-02,True,22.0,None
ONB0128,CUST0128,Go-Live,2023-03-21,2023-05-17,True,57.0,None
ONB0129,CUST0129,Integration Config,2024-01-05,,False,,Stakeholder unavailability
ONB0130,CUST0130,Go-Live,2022-04-14,2022-05-03,True,19.0,None
ONB0131,CUST0131,Data Migration,2025-02-09,,False,,Stakeholder unavailability
ONB0132,CUST0132,Go-Live,2025-01-11,2025-03-08,True,56.0,None
ONB0133,CUST0133,Go-Live,2023-05-03,2023-06-09,True,37.0,None
ONB0134,CUST0134,Go-Live,2024-09-02,2024-10-15,True,43.0,None
ONB0135,CUST0135,Go-Live,2025-06-13,2025-08-11,True,59.0,None
ONB0136,CUST0136,Go-Live,2022-08-10,2022-09-26,True,47.0,None
ONB0137,CUST0137,User Training,2022-09-16,,False,,Resource constraints
ONB0138,CUST0138,Go-Live,2024-05-31,2024-06-14,True,14.0,None
ONB0139,CUST0139,Go-Live,2024-07-17,,False,,IT approval delay
ONB0140,CUST0140,Go-Live,2022-05-18,2022-07-07,True,50.0,None
ONB0141,CUST0141,Go-Live,2022-09-24,2022-10-14,True,20.0,None
ONB0142,CUST0142,Go-Live,2024-05-16,2024-06-25,True,40.0,None
ONB0143,CUST0143,Go-Live,2024-11-05,2024-12-06,True,31.0,None
ONB0144,CUST0144,Go-Live,2024-05-28,2024-06-18,True,21.0,None
ONB0145,CUST0145,Go-Live,2023-07-02,2023-08-08,True,37.0,None
ONB0146,CUST0146,Go-Live,2022-10-18,2022-12-04,True,47.0,None
ONB0147,CUST0147,Go-Live,2023-11-30,2024-01-23,True,54.0,None
ONB0148,CUST0148,Go-Live,2022-06-17,2022-07-18,True,31.0,None
ONB0149,CUST0149,Data Migration,2024-11-15,,False,,Scope changes
ONB0150,CUST0150,Go-Live,2025-05-12,2025-06-08,True,27.0,None
ONB0151,CUST0151,Go-Live,2022-09-03,2022-10-17,True,44.0,None
ONB0152,CUST0152,Go-Live,2022-05-28,2022-07-22,True,55.0,None
ONB0153,CUST0153,Go-Live,2025-03-25,2025-04-13,True,19.0,None
ONB0154,CUST0154,Go-Live,2025-06-19,2025-07-16,True,27.0,None
ONB0155,CUST0155,Account Setup,2024-03-31,,False,,Stakeholder unavailability
ONB0156,CUST0156,Go-Live,2024-12-22,,False,,IT approval delay
ONB0157,CUST0157,Go-Live,2023-02-09,2023-04-06,True,56.0,None
ONB0158,CUST0158,Go-Live,2025-03-02,2025-04-17,True,46.0,None
ONB0159,CUST0159,Go-Live,2024-06-24,2024-07-08,True,14.0,None
ONB0160,CUST0160,Go-Live,2024-01-26,2024-03-06,True,40.0,None
ONB0161,CUST0161,Go-Live,2025-04-03,2025-05-22,True,49.0,None
ONB0162,CUST0162,Go-Live,2022-05-07,2022-06-22,True,46.0,None
ONB0163,CUST0163,Go-Live,2024-06-15,2024-07-15,True,30.0,None
ONB0164,CUST0164,Go-Live,2023-11-24,2024-01-15,True,52.0,None
ONB0165,CUST0165,Integration Config,2024-03-02,,False,,Resource constraints
ONB0166,CUST0166,Account Setup,2024-03-13,,False,,Stakeholder unavailability
ONB0167,CUST0167,Go-Live,2024-12-14,2025-02-07,True,55.0,None
ONB0168,CUST0168,Integration Config,2024-09-22,,False,,IT approval delay
ONB0169,CUST0169,Go-Live,2025-01-10,2025-02-06,True,27.0,None
ONB0170,CUST0170,Go-Live,2023-01-06,2023-01-23,True,17.0,None
ONB0171,CUST0171,Data Migration,2023-05-02,,False,,Integration complexity
ONB0172,CUST0172,Go-Live,2025-03-14,2025-04-03,True,20.0,None
ONB0173,CUST0173,Go-Live,2022-11-28,2022-12-25,True,27.0,None
ONB0174,CUST0174,Go-Live,2024-11-22,2025-01-05,True,44.0,None
ONB0175,CUST0175,Go-Live,2022-10-29,2022-11-16,True,18.0,None
ONB0176,CUST0176,Go-Live,2024-02-05,2024-03-26,True,50.0,None
ONB0177,CUST0177,Go-Live,2023-11-18,2023-12-18,True,30.0,None
ONB0178,CUST0178,Go-Live,2025-06-14,2025-08-04,True,51.0,None
ONB0179,CUST0179,Go-Live,2025-05-31,2025-07-16,True,46.0,None
ONB0180,CUST0180,Go-Live,2024-07-25,2024-08-31,True,37.0,None
ONB0181,CUST0181,Go-Live,2023-05-11,2023-06-25,True,45.0,None
ONB0182,CUST0182,Go-Live,2022-06-25,2022-07-26,True,31.0,None
ONB0183,CUST0183,Go-Live,2024-11-05,2024-12-01,True,26.0,None
ONB0184,CUST0184,User Training,2022-05-19,,False,,Data quality issues
ONB0185,CUST0185,Go-Live,2023-11-25,2024-01-09,True,45.0,None
ONB0186,CUST0186,Go-Live,2024-07-26,2024-09-01,True,37.0,None
ONB0187,CUST0187,Go-Live,2025-01-17,2025-02-06,True,20.0,None
ONB0188,CUST0188,Go-Live,2024-01-24,2024-03-21,True,57.0,None
ONB0189,CUST0189,Go-Live,2024-10-15,2024-12-03,True,49.0,None
ONB0190,CUST0190,Go-Live,2023-10-20,2023-12-13,True,54.0,None
ONB0191,CUST0191,Go-Live,2024-06-28,2024-08-10,True,43.0,None
ONB0192,CUST0192,Go-Live,2024-04-11,2024-05-13,True,32.0,None
ONB0193,CUST0193,Go-Live,2022-03-13,2022-04-15,True,33.0,None
ONB0194,CUST0194,Go-Live,2024-01-30,2024-02-16,True,17.0,None
ONB0195,CUST0195,User Training,2023-07-25,,False,,Scope changes
ONB0196,CUST0196,Go-Live,2023-06-18,2023-08-08,True,51.0,None
ONB0197,CUST0197,Integration Config,2022-06-01,,False,,Data quality issues
ONB0198,CUST0198,User Training,2023-09-07,,False,,Scope changes
ONB0199,CUST0199,Go-Live,2022-10-12,2022-11-05,True,24.0,None
ONB0200,CUST0200,Go-Live,2022-06-26,2022-07-18,True,22.0,None
ONB0201,CUST0201,Data Migration,2022-06-01,,False,,Integration complexity
ONB0202,CUST0202,Integration Config,2023-01-08,,False,,Integration complexity
ONB0203,CUST0203,Go-Live,2023-09-15,2023-10-04,True,19.0,None
ONB0204,CUST0204,Go-Live,2025-02-02,2025-03-06,True,32.0,None
ONB0205,CUST0205,Go-Live,2025-04-27,2025-05-25,True,28.0,None
ONB0206,CUST0206,Go-Live,2022-02-28,2022-04-24,True,55.0,None
ONB0207,CUST0207,Integration Config,2022-03-04,,False,,Data quality issues
ONB0208,CUST0208,Go-Live,2022-05-03,2022-06-24,True,52.0,None
ONB0209,CUST0209,Go-Live,2023-10-16,2023-10-31,True,15.0,None
ONB0210,CUST0210,Go-Live,2022-09-08,2022-10-16,True,38.0,None
ONB0211,CUST0211,Go-Live,2025-06-14,2025-08-10,True,57.0,None
ONB0212,CUST0212,Go-Live,2024-08-14,2024-09-20,True,37.0,None
ONB0213,CUST0213,Go-Live,2023-05-09,2023-06-28,True,50.0,None
ONB0214,CUST0214,Go-Live,2025-01-04,2025-02-27,True,54.0,None
ONB0215,CUST0215,Go-Live,2024-01-20,2024-03-15,True,55.0,None
ONB0216,CUST0216,Data Migration,2025-01-31,,False,,Scope changes
ONB0217,CUST0217,Go-Live,2023-11-26,2024-01-10,True,45.0,None
ONB0218,CUST0218,Go-Live,2023-11-14,2023-11-30,True,16.0,None
ONB0219,CUST0219,Data Migration,2025-06-09,,False,,Resource constraints
ONB0220,CUST0220,Go-Live,2025-02-26,2025-03-18,True,20.0,None
ONB0221,CUST0221,Go-Live,2022-02-24,2022-03-20,True,24.0,None
ONB0222,CUST0222,Go-Live,2025-06-23,2025-08-15,True,53.0,None
ONB0223,CUST0223,Go-Live,2022-08-14,2022-09-28,True,45.0,None
ONB0224,CUST0224,Go-Live,2022-05-08,2022-07-03,True,56.0,None
ONB0225,CUST0225,Go-Live,2024-02-11,2024-03-28,True,46.0,None
ONB0226,CUST0226,Go-Live,2023-05-20,2023-06-04,True,15.0,None
ONB0227,CUST0227,Go-Live,2024-09-28,2024-11-17,True,50.0,None
ONB0228,CUST0228,Data Migration,2024-03-19,,False,,Integration complexity
ONB0229,CUST0229,Go-Live,2024-06-24,2024-08-04,True,41.0,None
ONB0230,CUST0230,Go-Live,2022-08-12,2022-08-29,True,17.0,None
ONB0231,CUST0231,Go-Live,2023-04-08,2023-06-07,True,60.0,None
ONB0232,CUST0232,Go-Live,2022-11-20,2023-01-02,True,43.0,None
ONB0233,CUST0233,Go-Live,2022-05-02,2022-06-23,True,52.0,None
ONB0234,CUST0234,Go-Live,2022-12-27,2023-02-20,True,55.0,None
ONB0235,CUST0235,Go-Live,2023-08-16,2023-09-28,True,43.0,None
ONB0236,CUST0236,Go-Live,2025-01-17,2025-02-06,True,20.0,None
ONB0237,CUST0237,Go-Live,2023-11-09,2023-12-13,True,34.0,None
ONB0238,CUST0238,Go-Live,2022-12-26,2023-01-11,True,16.0,None
ONB0239,CUST0239,Go-Live,2022-07-15,2022-09-09,True,56.0,None
ONB0240,CUST0240,Account Setup,2023-09-11,,False,,Scope changes
ONB0241,CUST0241,Go-Live,2022-08-31,,False,,Scope changes
ONB0242,CUST0242,User Training,2023-08-28,,False,,Data quality issues
ONB0243,CUST0243,Go-Live,2025-05-25,2025-07-13,True,49.0,None
ONB0244,CUST0244,Go-Live,2022-06-17,2022-07-03,True,16.0,None
ONB0245,CUST0245,Data Migration,2025-01-26,,False,,Resource constraints
ONB0246,CUST0246,Go-Live,2023-02-25,2023-04-03,True,37.0,None
ONB0247,CUST0247,Go-Live,2024-11-17,2024-12-14,True,27.0,None
ONB0248,CUST0248,Go-Live,2022-01-07,2022-02-04,True,28.0,None
ONB0249,CUST0249,Go-Live,2025-01-13,2025-03-07,True,53.0,None
ONB0250,CUST0250,Go-Live,2024-05-10,2024-06-21,True,42.0,None
ONB0251,CUST0251,Account Setup,2025-01-09,,False,,Resource constraints
ONB0252,CUST0252,Go-Live,2023-09-04,2023-09-29,True,25.0,None
ONB0253,CUST0253,Go-Live,2023-12-10,2024-01-17,True,38.0,None
ONB0254,CUST0254,Go-Live,2022-07-26,2022-09-14,True,50.0,None
ONB0255,CUST0255,Go-Live,2024-06-17,2024-07-28,True,41.0,None
ONB0256,CUST0256,Go-Live,2023-10-19,2023-12-11,True,53.0,None
ONB0257,CUST0257,Go-Live,2025-02-14,2025-03-30,True,44.0,None
ONB0258,CUST0258,Integration Config,2024-05-02,,False,,Scope changes
ONB0259,CUST0259,Go-Live,2023-04-07,2023-06-06,True,60.0,None
ONB0260,CUST0260,Go-Live,2023-05-13,2023-06-13,True,31.0,None
ONB0261,CUST0261,Go-Live,2023-01-26,2023-02-28,True,33.0,None
ONB0262,CUST0262,Go-Live,2025-02-18,2025-04-06,True,47.0,None
ONB0263,CUST0263,Go-Live,2022-08-29,2022-10-22,True,54.0,None
ONB0264,CUST0264,Go-Live,2023-08-03,,False,,IT approval delay
ONB0265,CUST0265,Go-Live,2024-10-15,2024-11-12,True,28.0,None
ONB0266,CUST0266,Go-Live,2022-02-03,2022-03-29,True,54.0,None
ONB0267,CUST0267,Go-Live,2023-04-17,2023-05-30,True,43.0,None
ONB0268,CUST0268,Go-Live,2024-10-01,2024-11-26,True,56.0,None
ONB0269,CUST0269,Go-Live,2025-01-15,2025-02-07,True,23.0,None
ONB0270,CUST0270,Data Migration,2023-04-19,,False,,Integration complexity
ONB0271,CUST0271,Go-Live,2025-06-16,2025-08-03,True,48.0,None
ONB0272,CUST0272,Go-Live,2025-01-02,2025-02-15,True,44.0,None
ONB0273,CUST0273,Go-Live,2024-12-09,2025-01-31,True,53.0,None
ONB0274,CUST0274,Go-Live,2024-04-11,2024-06-03,True,53.0,None
ONB0275,CUST0275,Go-Live,2022-03-06,2022-03-29,True,23.0,None
ONB0276,CUST0276,Go-Live,2024-06-07,2024-07-28,True,51.0,None
ONB0277,CUST0277,Go-Live,2025-03-06,2025-04-01,True,26.0,None
ONB0278,CUST0278,Go-Live,2023-10-07,2023-12-04,True,58.0,None
ONB0279,CUST0279,Go-Live,2023-05-08,2023-06-17,True,40.0,None
ONB0280,CUST0280,Go-Live,2023-12-10,2024-01-17,True,38.0,None
ONB0281,CUST0281,Go-Live,2024-03-23,2024-05-21,True,59.0,None
ONB0282,CUST0282,Go-Live,2024-02-08,2024-04-02,True,54.0,None
ONB0283,CUST0283,Data Migration,2022-05-31,,False,,Stakeholder unavailability
ONB0284,CUST0284,Go-Live,2023-07-07,2023-08-22,True,46.0,None
ONB0285,CUST0285,Go-Live,2022-07-31,2022-08-27,True,27.0,None
ONB0286,CUST0286,Go-Live,2024-03-05,2024-04-30,True,56.0,None
ONB0287,CUST0287,User Training,2022-12-14,,False,,Data quality issues
ONB0288,CUST0288,Go-Live,2022-06-07,2022-07-06,True,29.0,None
ONB0289,CUST0289,Go-Live,2022-10-05,2022-11-13,True,39.0,None
ONB0290,CUST0290,Data Migration,2025-05-02,,False,,Scope changes
ONB0291,CUST0291,Go-Live,2023-10-16,2023-11-28,True,43.0,None
ONB0292,CUST0292,Integration Config,2025-02-28,,False,,IT approval delay
ONB0293,CUST0293,Go-Live,2023-08-20,,False,,Scope changes
ONB0294,CUST0294,User Training,2024-05-16,,False,,Integration complexity
ONB0295,CUST0295,Go-Live,2024-11-03,2024-11-20,True,17.0,None
ONB0296,CUST0296,Go-Live,2022-06-24,2022-07-19,True,25.0,None
ONB0297,CUST0297,Go-Live,2024-03-29,2024-05-15,True,47.0,None
ONB0298,CUST0298,Go-Live,2025-04-03,2025-05-18,True,45.0,None
ONB0299,CUST0299,Go-Live,2025-04-20,2025-06-07,True,48.0,None
ONB0300,CUST0300,Go-Live,2022-10-18,2022-12-16,True,59.0,None
ONB0301,CUST0301,User Training,2022-07-19,,False,,IT approval delay
ONB0302,CUST0302,Go-Live,2022-08-12,2022-09-14,True,33.0,None
ONB0303,CUST0303,Go-Live,2025-02-20,2025-03-11,True,19.0,None
ONB0304,CUST0304,Go-Live,2025-06-11,2025-07-02,True,21.0,None
ONB0305,CUST0305,User Training,2023-02-26,,False,,Integration complexity
ONB0306,CUST0306,Data Migration,2022-08-22,,False,,Resource constraints
ONB0307,CUST0307,Go-Live,2025-04-17,2025-05-13,True,26.0,None
ONB0308,CUST0308,Go-Live,2022-10-02,2022-11-27,True,56.0,None
ONB0309,CUST0309,Go-Live,2024-11-12,2024-12-16,True,34.0,None
ONB0310,CUST0310,Go-Live,2022-12-21,2023-01-20,True,30.0,None
ONB0311,CUST0311,Go-Live,2025-06-22,2025-07-29,True,37.0,None
ONB0312,CUST0312,Go-Live,2024-04-17,2024-05-11,True,24.0,None
ONB0313,CUST0313,Go-Live,2023-03-28,2023-05-22,True,55.0,None
ONB0314,CUST0314,Go-Live,2024-10-11,2024-11-11,True,31.0,None
ONB0315,CUST0315,Integration Config,2024-01-22,,False,,Integration complexity
ONB0316,CUST0316,Go-Live,2022-03-08,2022-04-07,True,30.0,None
ONB0317,CUST0317,Go-Live,2025-04-19,2025-06-08,True,50.0,None
ONB0318,CUST0318,Go-Live,2024-12-26,2025-01-30,True,35.0,None
ONB0319,CUST0319,Go-Live,2024-11-19,2024-12-17,True,28.0,None
ONB0320,CUST0320,Go-Live,2023-05-27,2023-07-03,True,37.0,None
ONB0321,CUST0321,Integration Config,2024-04-28,,False,,Stakeholder unavailability
ONB0322,CUST0322,Go-Live,2023-11-02,2023-12-16,True,44.0,None
ONB0323,CUST0323,Go-Live,2024-05-29,2024-07-11,True,43.0,None
ONB0324,CUST0324,Go-Live,2024-09-20,2024-10-19,True,29.0,None
ONB0325,CUST0325,Go-Live,2022-11-20,2022-12-05,True,15.0,None
ONB0326,CUST0326,Go-Live,2023-07-16,2023-09-11,True,57.0,None
ONB0327,CUST0327,Go-Live,2024-03-22,2024-04-28,True,37.0,None
ONB0328,CUST0328,Go-Live,2023-04-09,2023-05-05,True,26.0,None
ONB0329,CUST0329,Go-Live,2024-05-14,2024-06-19,True,36.0,None
ONB0330,CUST0330,Go-Live,2023-09-05,2023-10-22,True,47.0,None
ONB0331,CUST0331,Go-Live,2022-12-03,2023-02-01,True,60.0,None
ONB0332,CUST0332,Data Migration,2022-10-14,,False,,Scope changes
ONB0333,CUST0333,Go-Live,2023-05-23,,False,,IT approval delay
ONB0334,CUST0334,Go-Live,2023-09-10,2023-10-23,True,43.0,None
ONB0335,CUST0335,Go-Live,2023-05-06,2023-05-31,True,25.0,None
ONB0336,CUST0336,Go-Live,2022-09-28,2022-11-08,True,41.0,None
ONB0337,CUST0337,Integration Config,2024-08-22,,False,,Scope changes
ONB0338,CUST0338,Go-Live,2024-03-26,2024-04-30,True,35.0,None
ONB0339,CUST0339,Go-Live,2025-01-06,2025-02-23,True,48.0,None
ONB0340,CUST0340,Go-Live,2025-04-16,2025-05-19,True,33.0,None
ONB0341,CUST0341,Go-Live,2024-06-08,2024-07-27,True,49.0,None
ONB0342,CUST0342,Go-Live,2023-12-12,2024-01-30,True,49.0,None
ONB0343,CUST0343,Go-Live,2023-07-05,2023-08-20,True,46.0,None
ONB0344,CUST0344,Go-Live,2025-03-26,2025-04-13,True,18.0,None
ONB0345,CUST0345,Integration Config,2025-03-06,,False,,Scope changes
ONB0346,CUST0346,User Training,2022-01-26,,False,,Scope changes
ONB0347,CUST0347,Go-Live,2022-03-14,2022-04-06,True,23.0,None
ONB0348,CUST0348,Go-Live,2025-03-16,2025-05-12,True,57.0,None
ONB0349,CUST0349,Go-Live,2024-04-01,2024-05-01,True,30.0,None
ONB0350,CUST0350,Go-Live,2023-09-15,2023-10-04,True,19.0,None
ONB0351,CUST0351,Go-Live,2023-02-05,2023-03-16,True,39.0,None
ONB0352,CUST0352,Go-Live,2022-01-20,2022-02-17,True,28.0,None
ONB0353,CUST0353,Go-Live,2023-05-03,2023-05-18,True,15.0,None
ONB0354,CUST0354,Go-Live,2024-02-02,2024-02-16,True,14.0,None
