ticket_id,customer_id,category,priority,status,created_date,resolved_date,resolution_time_hours,satisfaction_score,description
TKT00057,CUST0072,Account Management,High,Resolved,2022-04-18,2022-04-18,4.4,4.0,Can we change the primary account admin?
TKT00058,CUST0035,Integration,Medium,Resolved,2024-01-01,2024-01-02,37.4,5.0,Our API key stopped working after a password reset.
TKT00059,CUST0389,Technical Issue,Medium,Resolved,2024-09-22,2024-09-23,35.4,4.0,The dashboard is not loading — getting a 504 error.
TKT00060,CUST0024,Billing,Low,Resolved,2025-01-26,2025-01-27,47.3,5.0,Requesting a refund for unused seats on our plan.
TKT00061,CUST0374,Performance,Critical,Resolved,2023-07-10,2023-07-10,6.5,4.0,API response times have increased significantly this week.
TKT00062,CUST0073,Technical Issue,Medium,Open,2025-01-02,2025-01-03,27.4,,Login page throws an error when using SSO.
TKT00063,CUST0490,Technical Issue,Low,Resolved,2024-01-10,2024-01-11,43.9,5.0,The dashboard is not loading — getting a 504 error.
TKT00064,CUST0247,Feature Request,Medium,Resolved,2023-02-10,2023-02-10,14.0,,Please add a dark mode option to the dashboard.
TKT00065,CUST0302,Onboarding,Medium,In Progress,2024-08-13,2024-08-14,31.6,3.0,Our team hasn't received the onboarding training invite.
TKT00066,CUST0005,Feature Request,Low,Resolved,2023-10-22,2023-10-23,44.5,5.0,We need custom date range filters in the reports section.
TKT00067,CUST0264,Technical Issue,Low,Open,2024-12-18,2024-12-21,81.9,3.0,The dashboard is not loading — getting a 504 error.
TKT00068,CUST0275,Onboarding,Critical,In Progress,2022-06-25,2022-06-25,5.1,3.0,We are stuck on the data migration step — need guidance.
TKT00069,CUST0129,Technical Issue,Medium,Open,2024-12-31,2025-01-01,39.2,1.0,Login page throws an error when using SSO.
TKT00070,CUST0040,Integration,Medium,Resolved,2022-04-03,2022-04-04,32.6,5.0,Our API key stopped working after a password reset.
TKT00071,CUST0066,Feature Request,High,In Progress,2022-04-19,2022-04-19,10.9,3.0,Can you add a bulk user import via CSV?
TKT00072,CUST0421,Integration,Medium,Resolved,2023-05-16,2023-05-17,45.0,4.0,Our API key stopped working after a password reset.
TKT00073,CUST0381,Technical Issue,Low,Escalated,2022-03-10,2022-03-11,27.8,,Our data sync stopped working after the last update.
TKT00074,CUST0222,Account Management,Medium,Resolved,2025-08-18,2025-08-19,35.7,5.0,We need to add 10 more user seats to our plan.
TKT00075,CUST0469,Account Management,Low,Resolved,2023-08-14,2023-08-17,77.3,,Can we change the primary account admin?
TKT00076,CUST0210,Onboarding,Low,Resolved,2023-10-08,2023-10-09,29.4,5.0,We need help setting up user roles and permissions.
TKT00077,CUST0049,Account Management,Medium,Resolved,2023-05-27,2023-05-27,16.2,3.0,Can we change the primary account admin?
TKT00078,CUST0070,Feature Request,Low,Resolved,2023-10-17,2023-10-18,40.7,3.0,Can you add a bulk user import via CSV?
TKT00079,CUST0025,Feature Request,Medium,Open,2025-09-03,2025-09-03,9.1,5.0,Would be great to have a mobile app version.
TKT00080,CUST0436,Billing,Low,Resolved,2023-03-02,2023-03-03,42.4,3.0,Can you clarify the pricing for adding more users?
TKT00081,CUST0117,Performance,Low,Resolved,2023-01-07,2023-01-09,61.2,3.0,The platform is very slow during peak hours (9-11am EST).
TKT00082,CUST0376,Integration,Low,Resolved,2024-04-23,2024-04-26,72.9,3.0,Our API key stopped working after a password reset.
TKT00083,CUST0205,Feature Request,High,Resolved,2023-09-03,2023-09-03,15.4,3.0,Can you add a bulk user import via CSV?
TKT00084,CUST0263,Onboarding,Medium,Escalated,2023-07-03,2023-07-03,15.0,,We need help setting up user roles and permissions.
TKT00085,CUST0127,Onboarding,High,Resolved,2025-07-27,2025-07-27,16.7,3.0,The setup wizard keeps freezing at Step 3.
TKT00086,CUST0282,Performance,Medium,In Progress,2022-12-30,2022-12-31,32.9,4.0,Dashboard charts lag when we have more than 5 filters active.
TKT00087,CUST0048,Feature Request,Medium,In Progress,2024-02-25,2024-02-28,75.6,3.0,Would be great to have a mobile app version.
TKT00088,CUST0137,Onboarding,High,Resolved,2024-03-09,2024-03-09,23.1,3.0,We need help setting up user roles and permissions.
TKT00089,CUST0470,Onboarding,Medium,Resolved,2022-08-04,2022-08-04,18.7,4.0,Our team hasn't received the onboarding training invite.
TKT00090,CUST0435,Integration,Medium,Resolved,2022-11-23,2022-11-23,19.5,4.0,We need help setting up the webhook for order updates.
TKT00091,CUST0163,Performance,Low,Resolved,2023-03-03,2023-03-05,64.4,5.0,Dashboard charts lag when we have more than 5 filters active.
TKT00092,CUST0325,Account Management,Medium,In Progress,2023-11-26,2023-11-27,37.9,,Can we change the primary account admin?
TKT00093,CUST0363,Account Management,Critical,Resolved,2024-10-08,2024-10-08,11.9,,We need to add 10 more user seats to our plan.
TKT00094,CUST0042,Technical Issue,Medium,In Progress,2025-08-13,2025-08-14,35.9,3.0,Notifications are not being delivered to our team emails.
TKT00095,CUST0166,Feature Request,Low,Resolved,2025-09-12,2025-09-14,71.4,4.0,Can you add a bulk user import via CSV?
TKT00096,CUST0014,Onboarding,High,Resolved,2024-03-16,2024-03-16,18.1,,We need help setting up user roles and permissions.
TKT00097,CUST0328,Technical Issue,Medium,Resolved,2025-01-23,2025-01-24,39.5,,The dashboard is not loading — getting a 504 error.
TKT00098,CUST0115,Performance,High,Resolved,2022-06-20,2022-06-20,4.2,5.0,The platform is very slow during peak hours (9-11am EST).
TKT00099,CUST0046,Billing,Low,Resolved,2024-10-15,2024-10-18,82.1,4.0,I was charged twice this month for my subscription.
TKT00100,CUST0086,Account Management,High,Resolved,2022-01-09,2022-01-09,22.7,,We need to update our billing contact information.
TKT00101,CUST0247,Integration,High,Resolved,2022-02-09,2022-02-09,14.2,,Our API key stopped working after a password reset.
TKT00102,CUST0061,Technical Issue,Critical,Open,2023-08-08,2023-08-08,6.1,,Export to CSV is producing empty files.
TKT00103,CUST0227,Onboarding,Low,Escalated,2025-08-08,2025-08-09,44.0,,We need help setting up user roles and permissions.
TKT00104,CUST0325,Technical Issue,Medium,Resolved,2025-12-09,2025-12-09,19.9,3.0,Our data sync stopped working after the last update.
TKT00105,CUST0236,Technical Issue,Medium,Resolved,2025-04-13,2025-04-14,42.4,4.0,The dashboard is not loading — getting a 504 error.
TKT00106,CUST0421,Integration,Low,Open,2025-09-23,2025-09-24,29.8,3.0,We need help setting up the webhook for order updates.
TKT00107,CUST0197,Performance,Low,Resolved,2024-07-31,2024-08-01,30.4,5.0,Reports are taking over 2 minutes to load.
TKT00108,CUST0456,Integration,Low,Escalated,2023-11-05,2023-11-07,63.8,,The Salesforce integration is not syncing contacts properly.
TKT00109,CUST0056,Technical Issue,Medium,Resolved,2025-03-15,2025-03-15,9.1,5.0,Our data sync stopped working after the last update.
TKT00110,CUST0140,Performance,Medium,Resolved,2022-06-16,2022-06-17,25.3,,Bulk data export is timing out for large datasets.
TKT00111,CUST0470,Performance,Medium,Resolved,2024-09-14,2024-09-15,34.3,,Bulk data export is timing out for large datasets.
TKT00112,CUST0052,Feature Request,Low,Escalated,2025-02-27,2025-03-01,63.3,3.0,We'd love a Slack integration for real-time alerts.
TKT00113,CUST0443,Onboarding,Medium,Resolved,2023-03-20,2023-03-20,9.5,5.0,We are stuck on the data migration step — need guidance.
TKT00114,CUST0006,Feature Request,Medium,In Progress,2025-12-25,2025-12-27,50.6,1.0,We'd love a Slack integration for real-time alerts.
TKT00115,CUST0336,Technical Issue,High,In Progress,2022-03-21,2022-03-21,5.3,4.0,Login page throws an error when using SSO.
TKT00116,CUST0207,Integration,Critical,Resolved,2022-05-29,2022-05-29,7.1,3.0,Our API key stopped working after a password reset.
TKT00117,CUST0489,Account Management,High,Resolved,2023-06-13,2023-06-13,13.0,4.0,We'd like to upgrade from Growth to Enterprise plan.
TKT00118,CUST0455,Technical Issue,Critical,Resolved,2023-03-06,2023-03-06,3.2,,The dashboard is not loading — getting a 504 error.
TKT00119,CUST0290,Performance,Low,Resolved,2025-04-26,2025-04-28,49.9,4.0,Reports are taking over 2 minutes to load.
TKT00120,CUST0404,Onboarding,Low,In Progress,2025-12-08,2025-12-11,87.6,3.0,Our team hasn't received the onboarding training invite.
TKT00121,CUST0401,Performance,Low,Resolved,2025-10-28,2025-10-29,46.3,3.0,The platform is very slow during peak hours (9-11am EST).
TKT00122,CUST0238,Performance,High,Resolved,2022-11-27,2022-11-27,23.4,5.0,Reports are taking over 2 minutes to load.
TKT00123,CUST0062,Technical Issue,High,In Progress,2024-07-29,2024-07-29,20.7,,Our data sync stopped working after the last update.
TKT00124,CUST0479,Performance,Low,Resolved,2025-05-29,2025-05-30,39.3,5.0,Bulk data export is timing out for large datasets.
TKT00125,CUST0151,Account Management,Medium,In Progress,2025-05-24,2025-05-24,17.4,1.0,We need to add 10 more user seats to our plan.
TKT00126,CUST0256,Feature Request,Medium,Resolved,2022-08-16,2022-08-17,34.3,5.0,Please add a dark mode option to the dashboard.
TKT00127,CUST0329,Technical Issue,Low,Resolved,2023-08-05,2023-08-08,87.1,,Our data sync stopped working after the last update.
TKT00128,CUST0172,Technical Issue,Medium,Resolved,2024-04-21,2024-04-22,31.9,5.0,Our data sync stopped working after the last update.
TKT00129,CUST0209,Integration,Low,Open,2023-12-07,2023-12-09,48.3,3.0,We need help setting up the webhook for order updates.
TKT00130,CUST0458,Billing,Low,Resolved,2025-07-20,2025-07-22,50.2,3.0,The upgrade price shown in the app is different from what I was charged.
TKT00131,CUST0306,Performance,Medium,Resolved,2024-12-02,2024-12-03,29.0,4.0,Dashboard charts lag when we have more than 5 filters active.
TKT00132,CUST0260,Integration,Critical,Resolved,2025-05-09,2025-05-09,2.5,,Our API key stopped working after a password reset.
TKT00133,CUST0322,Performance,Medium,Resolved,2024-06-05,2024-06-06,26.1,4.0,The platform is very slow during peak hours (9-11am EST).
TKT00134,CUST0399,Integration,Low,Resolved,2022-10-26,2022-10-29,85.3,,The Salesforce integration is not syncing contacts properly.
TKT00135,CUST0200,Onboarding,Low,In Progress,2025-08-31,2025-09-03,80.1,3.0,Can someone walk us through connecting our CRM?
TKT00136,CUST0244,Billing,Medium,In Progress,2022-06-19,2022-06-19,19.8,4.0,I was charged twice this month for my subscription.
TKT00137,CUST0003,Account Management,Medium,Resolved,2025-08-20,2025-08-21,46.2,3.0,We'd like to upgrade from Growth to Enterprise plan.
TKT00138,CUST0359,Integration,Medium,Resolved,2022-07-30,2022-08-01,68.9,,We need help setting up the webhook for order updates.
TKT00139,CUST0307,Billing,Medium,Resolved,2022-07-25,2022-07-26,43.9,1.0,The upgrade price shown in the app is different from what I was charged.
TKT00140,CUST0099,Integration,Medium,Resolved,2022-09-07,2022-09-07,22.0,3.0,Zapier connection keeps timing out.
TKT00141,CUST0283,Technical Issue,Low,Resolved,2025-02-12,2025-02-14,56.3,,Export to CSV is producing empty files.
TKT00142,CUST0444,Technical Issue,Medium,Resolved,2024-01-04,2024-01-07,76.8,3.0,The dashboard is not loading — getting a 504 error.
TKT00143,CUST0048,Billing,Medium,Resolved,2025-02-09,2025-02-10,30.0,1.0,My invoice doesn't match the amount on my credit card.
TKT00144,CUST0401,Billing,Medium,Resolved,2023-05-20,2023-05-20,21.9,,Requesting a refund for unused seats on our plan.
TKT00145,CUST0496,Account Management,High,In Progress,2022-10-26,2022-10-26,5.6,5.0,Can we change the primary account admin?
TKT00146,CUST0004,Account Management,High,Escalated,2023-08-16,2023-08-16,4.6,5.0,We'd like to upgrade from Growth to Enterprise plan.
TKT00147,CUST0285,Billing,Medium,Resolved,2024-08-09,2024-08-10,46.3,,Can you clarify the pricing for adding more users?
TKT00148,CUST0038,Billing,High,Resolved,2022-07-29,2022-07-30,25.1,3.0,My invoice doesn't match the amount on my credit card.
TKT00149,CUST0314,Feature Request,High,Resolved,2022-09-16,2022-09-16,19.3,3.0,Please add a dark mode option to the dashboard.
TKT00150,CUST0285,Onboarding,High,Resolved,2023-08-13,2023-08-14,29.0,1.0,Our team hasn't received the onboarding training invite.
TKT00151,CUST0262,Performance,Medium,Escalated,2025-06-03,2025-06-04,27.1,3.0,Dashboard charts lag when we have more than 5 filters active.
TKT00152,CUST0287,Performance,Medium,Resolved,2022-02-21,2022-02-23,55.9,,API response times have increased significantly this week.
TKT00153,CUST0060,Performance,Low,Resolved,2023-03-31,2023-04-03,83.3,5.0,Dashboard charts lag when we have more than 5 filters active.
TKT00154,CUST0470,Technical Issue,High,Resolved,2024-04-04,2024-04-04,15.1,,Export to CSV is producing empty files.
TKT00155,CUST0491,Feature Request,High,Open,2024-02-02,2024-02-02,15.0,3.0,Would be great to have a mobile app version.
TKT00156,CUST0096,Integration,High,Resolved,2022-01-02,2022-01-02,20.4,4.0,HubSpot integration is duplicating records.
TKT00157,CUST0354,Feature Request,Medium,Resolved,2022-11-10,2022-11-11,28.8,4.0,We'd love a Slack integration for real-time alerts.
TKT00158,CUST0373,Billing,Medium,Resolved,2024-05-10,2024-05-11,26.4,,Requesting a refund for unused seats on our plan.
TKT00159,CUST0458,Billing,Low,Resolved,2023-10-14,2023-10-15,34.4,3.0,The upgrade price shown in the app is different from what I was charged.
TKT00160,CUST0036,Feature Request,Medium,Resolved,2025-02-04,2025-02-04,16.5,1.0,Would be great to have a mobile app version.
TKT00161,CUST0246,Performance,Medium,Resolved,2025-06-11,2025-06-11,14.4,4.0,Bulk data export is timing out for large datasets.
TKT00162,CUST0236,Account Management,High,Resolved,2023-01-05,2023-01-05,9.1,3.0,We need to update our billing contact information.
TKT00163,CUST0095,Technical Issue,Medium,Resolved,2023-05-29,2023-05-29,23.9,1.0,The dashboard is not loading — getting a 504 error.
TKT00164,CUST0233,Performance,Low,Resolved,2022-08-15,2022-08-18,75.9,4.0,API response times have increased significantly this week.
TKT00165,CUST0274,Feature Request,Medium,Resolved,2023-08-01,2023-08-02,41.8,3.0,We need custom date range filters in the reports section.
TKT00166,CUST0256,Integration,High,Resolved,2022-01-31,2022-01-31,5.6,,We need help setting up the webhook for order updates.
TKT00167,CUST0391,Technical Issue,Low,Resolved,2022-10-23,2022-10-27,109.9,3.0,Export to CSV is producing empty files.
TKT00168,CUST0114,Account Management,Low,Resolved,2025-08-03,2025-08-05,62.7,5.0,Please help us set up SSO for our organization.
TKT00169,CUST0144,Billing,High,Resolved,2022-10-14,2022-10-14,15.3,5.0,Can you clarify the pricing for adding more users?
TKT00170,CUST0227,Technical Issue,Low,Resolved,2023-08-29,2023-09-01,92.5,3.0,The dashboard is not loading — getting a 504 error.
TKT00171,CUST0209,Onboarding,Medium,Resolved,2022-12-29,2022-12-30,44.2,3.0,We need help setting up user roles and permissions.
TKT00172,CUST0208,Onboarding,Medium,Escalated,2024-08-30,2024-09-01,67.7,4.0,Our team hasn't received the onboarding training invite.
TKT00173,CUST0420,Feature Request,High,Resolved,2023-03-18,2023-03-18,4.7,,Can you add a bulk user import via CSV?
TKT00174,CUST0155,Integration,High,Resolved,2024-01-04,2024-01-04,2.2,,We need help setting up the webhook for order updates.
TKT00175,CUST0300,Billing,Low,Resolved,2023-05-06,2023-05-08,70.3,,Can you clarify the pricing for adding more users?
TKT00176,CUST0310,Onboarding,Low,Resolved,2022-05-07,2022-05-08,24.1,3.0,We need help setting up user roles and permissions.
TKT00177,CUST0221,Billing,Medium,Open,2023-01-13,2023-01-14,41.7,5.0,Requesting a refund for unused seats on our plan.
TKT00178,CUST0033,Integration,Medium,Resolved,2023-12-26,2023-12-27,46.8,5.0,We need help setting up the webhook for order updates.
TKT00179,CUST0319,Account Management,High,Resolved,2023-04-10,2023-04-10,2.0,4.0,Can we change the primary account admin?
TKT00180,CUST0120,Billing,Critical,Resolved,2025-08-26,2025-08-26,5.4,5.0,I was charged twice this month for my subscription.
TKT00181,CUST0193,Feature Request,Medium,Resolved,2023-08-13,2023-08-15,66.4,1.0,Would be great to have a mobile app version.
TKT00182,CUST0388,Feature Request,Low,Resolved,2025-06-12,2025-06-16,119.0,,We'd love a Slack integration for real-time alerts.
TKT00183,CUST0499,Onboarding,Medium,Resolved,2024-05-11,2024-05-12,36.5,4.0,Our team hasn't received the onboarding training invite.
TKT00184,CUST0332,Account Management,Medium,In Progress,2022-09-14,2022-09-14,9.1,5.0,We need to add 10 more user seats to our plan.
TKT00185,CUST0332,Feature Request,Medium,Resolved,2022-04-23,2022-04-24,24.3,,Would be great to have a mobile app version.
TKT00186,CUST0068,Technical Issue,Low,Resolved,2022-08-22,2022-08-24,52.1,5.0,Login page throws an error when using SSO.
TKT00187,CUST0323,Account Management,Medium,Resolved,2024-05-25,2024-05-25,16.2,,Can we change the primary account admin?
TKT00188,CUST0249,Billing,Medium,Open,2025-04-14,2025-04-14,14.2,4.0,Can you clarify the pricing for adding more users?
TKT00189,CUST0332,Integration,Medium,In Progress,2023-03-28,2023-03-29,44.5,,Our API key stopped working after a password reset.
TKT00190,CUST0311,Feature Request,Low,Open,2022-03-24,2022-03-25,41.7,4.0,Please add a dark mode option to the dashboard.
TKT00191,CUST0126,Integration,High,Open,2025-03-02,2025-03-03,35.2,,Zapier connection keeps timing out.
TKT00192,CUST0038,Technical Issue,Low,Resolved,2024-06-14,2024-06-17,78.1,4.0,Login page throws an error when using SSO.
TKT00193,CUST0065,Onboarding,High,Resolved,2025-01-01,2025-01-02,28.3,,We need help setting up user roles and permissions.
TKT00194,CUST0350,Onboarding,Medium,Resolved,2025-03-13,2025-03-13,10.9,3.0,We need help setting up user roles and permissions.
TKT00195,CUST0049,Billing,High,Open,2025-09-28,2025-09-28,21.2,4.0,My invoice doesn't match the amount on my credit card.
TKT00196,CUST0202,Feature Request,Low,In Progress,2024-06-30,2024-07-03,86.3,4.0,We'd love a Slack integration for real-time alerts.
TKT00197,CUST0250,Technical Issue,Critical,Resolved,2023-10-10,2023-10-10,7.6,,Our data sync stopped working after the last update.
TKT00198,CUST0428,Feature Request,Medium,Resolved,2023-10-06,2023-10-09,72.3,4.0,We need custom date range filters in the reports section.
TKT00199,CUST0226,Integration,Low,Resolved,2024-05-22,2024-05-23,35.5,,HubSpot integration is duplicating records.
TKT00200,CUST0189,Account Management,Low,Escalated,2023-09-21,2023-09-23,53.3,,We need to add 10 more user seats to our plan.
TKT00201,CUST0297,Technical Issue,Critical,Resolved,2024-05-07,2024-05-07,3.3,4.0,The dashboard is not loading — getting a 504 error.
TKT00202,CUST0345,Billing,High,Resolved,2022-09-16,2022-09-17,29.6,4.0,My invoice doesn't match the amount on my credit card.
TKT00203,CUST0119,Performance,Medium,Resolved,2022-02-14,2022-02-15,32.6,3.0,Bulk data export is timing out for large datasets.
TKT00204,CUST0138,Account Management,Low,Resolved,2022-09-26,2022-09-30,104.7,3.0,We need to add 10 more user seats to our plan.
TKT00205,CUST0404,Technical Issue,Low,Resolved,2024-10-07,2024-10-09,57.2,5.0,The dashboard is not loading — getting a 504 error.
TKT00206,CUST0177,Onboarding,Medium,In Progress,2024-08-07,2024-08-08,42.3,,We are stuck on the data migration step — need guidance.
TKT00207,CUST0150,Performance,Medium,Resolved,2024-07-28,2024-07-28,14.4,,API response times have increased significantly this week.
TKT00208,CUST0048,Feature Request,Medium,Resolved,2025-10-25,2025-10-27,66.6,2.0,Can you add a bulk user import via CSV?
TKT00209,CUST0331,Performance,High,Resolved,2025-11-21,2025-11-21,3.2,5.0,Bulk data export is timing out for large datasets.
TKT00210,CUST0368,Onboarding,Medium,Resolved,2024-06-30,2024-06-30,8.5,,Our team hasn't received the onboarding training invite.
TKT00211,CUST0435,Account Management,High,Escalated,2024-12-01,2024-12-01,11.4,,We need to add 10 more user seats to our plan.
TKT00212,CUST0453,Account Management,High,In Progress,2022-02-25,2022-02-26,32.1,3.0,We need to update our billing contact information.
TKT00213,CUST0065,Onboarding,High,In Progress,2025-01-17,2025-01-17,10.4,2.0,Can someone walk us through connecting our CRM?
TKT00214,CUST0346,Integration,Medium,Resolved,2024-11-09,2024-11-09,14.7,5.0,HubSpot integration is duplicating records.
TKT00215,CUST0371,Performance,Medium,Resolved,2025-11-29,2025-11-30,26.0,,Bulk data export is timing out for large datasets.
TKT00216,CUST0130,Integration,High,Escalated,2024-06-09,2024-06-09,21.3,3.0,HubSpot integration is duplicating records.
TKT00217,CUST0470,Onboarding,Low,Resolved,2022-04-17,2022-04-18,32.2,,The setup wizard keeps freezing at Step 3.
TKT00218,CUST0391,Account Management,Low,Resolved,2025-02-28,2025-03-06,145.6,1.0,We need to add 10 more user seats to our plan.
TKT00219,CUST0170,Feature Request,Medium,Resolved,2024-08-31,2024-08-31,21.8,5.0,We'd love a Slack integration for real-time alerts.
TKT00220,CUST0025,Technical Issue,Critical,Resolved,2024-11-09,2024-11-09,5.0,5.0,The dashboard is not loading — getting a 504 error.
